method,run_count,row_count,feature_dim,hidden_dim,value_embed_dim,parameter_count,attention_scope,value_output_mode,curriculum,loss_mean,loss_ci_low,loss_ci_high,generator_loss_mean,generator_loss_ci_low,generator_loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,generator_top1_accuracy_mean,generator_top1_accuracy_ci_low,generator_top1_accuracy_ci_high,generator_mrr_mean,generator_mrr_ci_low,generator_mrr_ci_high,mean_target_value_probability_mean,mean_target_value_probability_ci_low,mean_target_value_probability_ci_high,mean_target_attention_probability_mean,mean_target_attention_probability_ci_low,mean_target_attention_probability_ci_high,mean_generator_target_probability_mean,mean_generator_target_probability_ci_low,mean_generator_target_probability_ci_high,mean_copy_gate_mean,mean_copy_gate_ci_low,mean_copy_gate_ci_high,target_value_probability_mae_mean,target_value_probability_mae_ci_low,target_value_probability_mae_ci_high,mean_top1_confidence_mean,mean_top1_confidence_ci_low,mean_top1_confidence_ci_high,expected_calibration_error_mean,expected_calibration_error_ci_low,expected_calibration_error_ci_high,mean_first_relevant_value_rank_mean,mean_first_relevant_value_rank_ci_low,mean_first_relevant_value_rank_ci_high,mean_generator_first_relevant_value_rank_mean,mean_generator_first_relevant_value_rank_ci_low,mean_generator_first_relevant_value_rank_ci_high
no_position,5,60,14,16,8,4635,full_prefix_sequence_tokens,generator_hardened_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,3.232929,3.225829,3.239221,7.460707,7.299528,7.597384,0.076667,0.07,0.083333,0.204035,0.197755,0.21052,0.013333,0.003333,0.023333,0.045624,0.033446,0.059146,0.042826,0.042641,0.043054,0.042967,0.042769,0.043194,0.007404,0.005898,0.008782,0.9962,0.995342,0.996985,0.957174,0.956948,0.957359,0.062218,0.061787,0.062913,0.017866,0.010596,0.024912,13.406667,13.303333,13.55,119.87,116.023334,122.726666
alibi,5,60,14,16,8,4635,full_prefix_sequence_tokens,generator_hardened_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,3.221403,3.218795,3.224244,7.362324,7.272818,7.514529,0.09,0.083333,0.096667,0.218194,0.21471,0.222061,0.016667,0.006667,0.026666,0.046887,0.035583,0.055781,0.043118,0.043038,0.043198,0.043241,0.043152,0.043327,0.007558,0.006299,0.008662,0.996798,0.996199,0.997418,0.956882,0.956807,0.956962,0.062379,0.061828,0.062903,0.031071,0.024004,0.038228,13.31,13.27,13.333333,118.263333,116.69,119.64
rope_relative,5,60,14,16,8,4635,full_prefix_sequence_tokens,generator_hardened_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.025354,0.023371,0.027829,5.280477,5.221747,5.334576,1.0,1.0,1.0,1.0,1.0,1.0,0.323333,0.316667,0.33,0.334367,0.330818,0.337847,0.975293,0.972944,0.977081,0.998832,0.998702,0.998975,0.31543,0.30929,0.322935,0.970862,0.968199,0.973497,0.024707,0.022919,0.027131,0.975275,0.972849,0.977066,0.024725,0.022934,0.027151,1.0,1.0,1.0,104.046667,102.226667,106.296667
sinusoidal,5,60,14,16,8,4635,full_prefix_sequence_tokens,generator_hardened_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.38464,0.380612,0.390203,6.500791,6.39056,6.612698,0.753333,0.74,0.763334,0.871667,0.864444,0.878889,0.28,0.263333,0.296667,0.30113,0.290838,0.310956,0.754919,0.752667,0.756702,0.771343,0.770385,0.77227,0.236851,0.23083,0.241354,0.966937,0.960278,0.972684,0.245081,0.243298,0.246865,0.797916,0.794173,0.801857,0.099522,0.088746,0.10699,1.276667,1.253333,1.3,101.626667,98.92,104.213333
phasewrap_distance_adapter,5,60,14,16,8,4635,full_prefix_sequence_tokens,generator_hardened_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.099199,0.093513,0.104427,5.561595,5.495102,5.618836,0.966667,0.966667,0.966667,0.983333,0.983333,0.983333,0.32,0.316667,0.326667,0.333028,0.330628,0.337005,0.924739,0.922409,0.92702,0.940577,0.938511,0.942881,0.307642,0.302284,0.315264,0.975738,0.971184,0.980421,0.075261,0.072914,0.077591,0.934702,0.93367,0.935694,0.046893,0.039085,0.05317,1.033333,1.033333,1.033333,102.943333,99.33,106.37
phasewrap_multiscale_adapter,5,60,14,16,8,4635,full_prefix_sequence_tokens,generator_hardened_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.08075,0.079236,0.082177,5.475133,5.34737,5.590651,0.97,0.966667,0.976667,0.985,0.983333,0.988333,0.326667,0.32,0.333333,0.335785,0.331406,0.339394,0.935594,0.934337,0.937099,0.951175,0.950308,0.952042,0.309601,0.30328,0.315923,0.978397,0.977159,0.979752,0.064406,0.062875,0.065947,0.930709,0.928707,0.932966,0.054413,0.049689,0.060644,1.03,1.023333,1.033333,103.7,100.616667,105.436667
