row_count,loss,perplexity,generator_loss,generator_perplexity,top1_accuracy,mrr,generator_top1_accuracy,generator_mrr,mean_target_value_probability,mean_target_attention_probability,mean_generator_target_probability,mean_copy_gate,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,mean_generator_first_relevant_value_rank,method,model_seed,task
20,3.583392,35.995415,8.120773,3363.62103,0.05,0.131324,0.0,0.018078,0.029986,0.03008,0.003337,0.996182,0.970014,0.06684,0.01684,19.15,142.25,alibi,4349,passkey_exact
20,3.140922,23.125169,7.878979,2641.175785,0.15,0.352619,0.05,0.082605,0.044496,0.044701,0.005725,0.995033,0.955504,0.061181,0.099238,4.35,137.25,alibi,4349,multi_needle
20,2.941277,18.940015,5.865796,352.762687,0.05,0.158817,0.0,0.047604,0.054931,0.055121,0.010411,0.995993,0.945069,0.060016,0.010016,16.5,77.0,alibi,4349,aggregation
20,0.021596,1.021831,5.212516,183.555227,1.0,1.0,0.35,0.354274,0.978887,0.998994,0.341595,0.974216,0.021113,0.978887,0.021113,1.0,114.3,rope_relative,4307,passkey_exact
20,0.030807,1.031286,7.106313,1219.64189,1.0,1.0,0.2,0.205295,0.969923,0.997306,0.196765,0.972555,0.030077,0.969923,0.030077,1.0,137.5,rope_relative,4307,multi_needle
20,0.024724,1.025032,3.198334,24.491685,1.0,1.0,0.4,0.431491,0.975995,0.999629,0.39885,0.968904,0.024005,0.97594,0.02406,1.0,64.15,rope_relative,4307,aggregation
20,0.022497,1.022751,5.567474,261.77196,1.0,1.0,0.35,0.353988,0.978037,0.999156,0.341955,0.963384,0.021963,0.978037,0.021963,1.0,114.1,rope_relative,4319,passkey_exact
20,0.032198,1.032722,7.325415,1518.404038,1.0,1.0,0.2,0.205068,0.968647,0.997683,0.196275,0.970912,0.031353,0.968647,0.031353,1.0,136.55,rope_relative,4319,multi_needle
20,0.018637,1.018811,3.124009,22.737353,1.0,1.0,0.45,0.462754,0.981716,0.999679,0.422271,0.975114,0.018284,0.981658,0.018342,1.0,58.55,rope_relative,4319,aggregation
20,0.024355,1.024654,5.306878,201.719453,1.0,1.0,0.35,0.356975,0.976301,0.999433,0.344602,0.969693,0.023699,0.976301,0.023699,1.0,109.0,rope_relative,4327,passkey_exact
20,0.036237,1.036902,7.126842,1244.939376,1.0,1.0,0.2,0.20565,0.964829,0.998067,0.19751,0.966665,0.035171,0.964829,0.035171,1.0,131.7,rope_relative,4327,multi_needle
20,0.029871,1.030321,3.268542,26.273007,1.0,1.0,0.4,0.431805,0.97115,0.99979,0.373458,0.962944,0.02885,0.971085,0.028915,1.0,62.2,rope_relative,4327,aggregation
20,0.019119,1.019303,5.359539,212.62691,1.0,1.0,0.35,0.354393,0.981264,0.999166,0.343967,0.975604,0.018736,0.981264,0.018736,1.0,110.55,rope_relative,4337,passkey_exact
20,0.02855,1.028962,7.239688,1393.658434,1.0,1.0,0.2,0.204979,0.972089,0.997722,0.197165,0.97433,0.027911,0.972089,0.027911,1.0,137.75,rope_relative,4337,multi_needle
20,0.022802,1.023064,3.294647,26.967895,1.0,1.0,0.4,0.434013,0.978037,0.99968,0.394371,0.975858,0.021963,0.977991,0.022009,1.0,61.25,rope_relative,4337,aggregation
20,0.021237,1.021464,5.457004,234.394154,1.0,1.0,0.35,0.354054,0.979218,0.999093,0.343178,0.972482,0.020782,0.979218,0.020782,1.0,116.9,rope_relative,4349,passkey_exact
20,0.029186,1.029617,7.373038,1592.463792,1.0,1.0,0.2,0.205253,0.971467,0.997431,0.198088,0.974009,0.028533,0.971467,0.028533,1.0,134.25,rope_relative,4349,multi_needle
20,0.018497,1.018669,3.246922,25.711081,1.0,1.0,0.45,0.455513,0.98183,0.999653,0.441409,0.966254,0.01817,0.981794,0.018206,1.0,71.95,rope_relative,4349,aggregation
20,0.504311,1.655845,6.61505,746.242212,0.75,0.866667,0.25,0.296898,0.688745,0.700146,0.245155,0.9791,0.311255,0.750034,0.180425,1.3,97.15,sinusoidal,4307,passkey_exact
20,0.295442,1.34372,8.449424,4672.382001,0.75,0.858333,0.2,0.205564,0.801723,0.824797,0.140243,0.973825,0.198277,0.810146,0.106441,1.35,126.75,sinusoidal,4307,multi_needle
20,0.334896,1.397795,3.993693,54.254877,0.7,0.85,0.35,0.378301,0.781144,0.792963,0.335962,0.977995,0.218856,0.815996,0.135193,1.3,66.15,sinusoidal,4307,aggregation
20,0.536714,1.710377,7.13838,1259.385924,0.6,0.791667,0.3,0.316695,0.677802,0.690912,0.244638,0.926274,0.322198,0.763344,0.194369,1.45,108.95,sinusoidal,4319,passkey_exact
20,0.259433,1.296195,8.79675,6612.714901,1.0,1.0,0.2,0.204969,0.816095,0.84013,0.135076,0.972524,0.183905,0.816095,0.183905,1.0,138.95,sinusoidal,4319,multi_needle
20,0.362862,1.437438,4.04969,57.379659,0.7,0.85,0.4,0.423689,0.770388,0.77988,0.330583,0.964451,0.229612,0.828831,0.14724,1.3,69.1,sinusoidal,4319,aggregation
20,0.497526,1.644648,7.032414,1132.761811,0.75,0.866667,0.25,0.282686,0.694283,0.703563,0.244291,0.942535,0.305717,0.757366,0.17326,1.3,113.2,sinusoidal,4327,passkey_exact
20,0.320247,1.377468,8.631966,5608.094216,0.7,0.833333,0.15,0.172043,0.794854,0.813984,0.120731,0.977934,0.205146,0.825293,0.162304,1.4,131.4,sinusoidal,4327,multi_needle
20,0.329073,1.389679,4.345569,77.135898,0.8,0.9,0.35,0.393845,0.782374,0.798845,0.30918,0.977472,0.217626,0.816287,0.138313,1.2,66.95,sinusoidal,4327,aggregation
20,0.548272,1.73026,6.795381,893.709798,0.6,0.791667,0.3,0.316362,0.676172,0.689722,0.248778,0.974634,0.323828,0.766082,0.244327,1.45,99.05,sinusoidal,4337,passkey_exact
20,0.264194,1.302381,8.278632,3938.800729,1.0,1.0,0.2,0.205343,0.811638,0.840624,0.146016,0.967524,0.188362,0.811638,0.188362,1.0,135.95,sinusoidal,4337,multi_needle
20,0.370007,1.447745,4.101785,60.44808,0.7,0.85,0.4,0.416656,0.766862,0.778663,0.334757,0.974322,0.233138,0.828463,0.150661,1.3,67.1,sinusoidal,4337,aggregation
20,0.520163,1.682302,6.802623,900.205204,0.6,0.791667,0.3,0.3101,0.681779,0.695055,0.247531,0.955769,0.318221,0.753556,0.189023,1.45,99.4,sinusoidal,4349,passkey_exact
20,0.276864,1.318987,8.445645,4654.755697,0.95,0.975,0.15,0.168146,0.805895,0.835128,0.119259,0.967441,0.194105,0.806066,0.143934,1.05,137.05,sinusoidal,4349,multi_needle
