example_id,seed,task,sequence_length,reference_delta,target_deltas,target_rule,phasewrap_rope_8_12_first_relevant_rank,phasewrap_rope_8_12_target_probability_mass,rope_relative_first_relevant_rank,rope_relative_target_probability_mass,alibi_first_relevant_rank,alibi_target_probability_mass,sinusoidal_first_relevant_rank,sinusoidal_target_probability_mass,no_position_first_relevant_rank,no_position_target_probability_mass
passkey_exact_seed409_L256_001,409,passkey_exact,256,165,165,exact passkey offset chosen by RNG and exposed as the query offset,5,0.0513928,1,0.13473038,7,0.07380363,1,0.15473049,5,0.08617112
multi_needle_seed409_L256_001,409,multi_needle,256,19,19,third same-token occurrence in increasing delta order,9,0.01760273,1,0.12056472,3,0.10381779,1,0.14546713,10,0.07935036
aggregation_seed409_L256_001,409,aggregation,256,121,121;150,two explicit offsets selected by the aggregation packet generator,1,0.17745451,1,0.16296359,8,0.12175874,1,0.19819622,3,0.1370109
passkey_exact_seed409_L256_002,409,passkey_exact,256,50,50,exact passkey offset chosen by RNG and exposed as the query offset,5,0.04124096,1,0.14271305,3,0.11287853,1,0.16937003,9,0.08617112
multi_needle_seed409_L256_002,409,multi_needle,256,127,127,third same-token occurrence in increasing delta order,7,0.03583986,1,0.12601597,3,0.08522425,1,0.14289363,10,0.07935036
aggregation_seed409_L256_002,409,aggregation,256,189,189;204,two explicit offsets selected by the aggregation packet generator,6,0.06709702,1,0.18217089,12,0.0939215,1,0.19623145,1,0.1370109
passkey_exact_seed409_L256_003,409,passkey_exact,256,86,86,exact passkey offset chosen by RNG and exposed as the query offset,3,0.06730224,1,0.13270853,7,0.08669134,1,0.15854774,5,0.08617112
multi_needle_seed409_L256_003,409,multi_needle,256,58,58,third same-token occurrence in increasing delta order,9,0.02606771,1,0.12464813,3,0.10288827,1,0.13777056,10,0.07935036
aggregation_seed409_L256_003,409,aggregation,256,190,190;220,two explicit offsets selected by the aggregation packet generator,1,0.21514443,1,0.16961291,10,0.10919009,1,0.20087601,3,0.1370109
passkey_exact_seed409_L512_000,409,passkey_exact,512,292,292,exact passkey offset chosen by RNG and exposed as the query offset,9,0.01826607,1,0.09420771,10,0.04813831,1,0.11560694,8,0.05487118
multi_needle_seed409_L512_000,409,multi_needle,512,135,135,third same-token occurrence in increasing delta order,9,0.01374338,1,0.09103947,3,0.06691241,1,0.10502818,16,0.05202366
aggregation_seed409_L512_000,409,aggregation,512,222,222;274,two explicit offsets selected by the aggregation packet generator,3,0.1699721,1,0.13007974,11,0.08811601,1,0.14308918,5,0.09891419
passkey_exact_seed409_L512_001,409,passkey_exact,512,215,215,exact passkey offset chosen by RNG and exposed as the query offset,6,0.02264894,1,0.09618182,9,0.05373071,1,0.11851646,9,0.05487118
multi_needle_seed409_L512_001,409,multi_needle,512,123,123,third same-token occurrence in increasing delta order,7,0.01920979,1,0.0881497,3,0.06479198,1,0.105403,16,0.05202366
aggregation_seed409_L512_001,409,aggregation,512,475,475;508,two explicit offsets selected by the aggregation packet generator,12,0.02434464,1,0.13368079,14,0.06548032,1,0.14564561,1,0.09891419
passkey_exact_seed409_L512_002,409,passkey_exact,512,411,411,exact passkey offset chosen by RNG and exposed as the query offset,11,0.01634915,1,0.09213119,12,0.04044051,1,0.11203641,6,0.05487118
multi_needle_seed409_L512_002,409,multi_needle,512,55,55,third same-token occurrence in increasing delta order,12,0.01070123,1,0.09473343,3,0.06629915,1,0.10994533,16,0.05202366
aggregation_seed409_L512_002,409,aggregation,512,248,248;254,two explicit offsets selected by the aggregation packet generator,5,0.06732186,1,0.14543523,10,0.09298224,1,0.17023882,9,0.09891419
passkey_exact_seed409_L512_003,409,passkey_exact,512,343,343,exact passkey offset chosen by RNG and exposed as the query offset,7,0.03838011,1,0.09593218,13,0.04107382,1,0.11597167,5,0.05487118
multi_needle_seed409_L512_003,409,multi_needle,512,95,95,third same-token occurrence in increasing delta order,11,0.01668426,1,0.08913282,3,0.06947151,1,0.11072943,16,0.05202366
aggregation_seed409_L512_003,409,aggregation,512,131,131;156,two explicit offsets selected by the aggregation packet generator,10,0.05282093,1,0.14693607,7,0.1153173,1,0.1753799,11,0.09891419
passkey_exact_seed409_L1024_000,409,passkey_exact,1024,278,278,exact passkey offset chosen by RNG and exposed as the query offset,11,0.01225996,1,0.0519952,12,0.03201462,1,0.06431453,22,0.02820559
multi_needle_seed409_L1024_000,409,multi_needle,1024,37,37,third same-token occurrence in increasing delta order,23,0.0070105,1,0.05132941,3,0.03707122,1,0.06109257,34,0.02601015
aggregation_seed409_L1024_000,409,aggregation,1024,1004,1004;1014,two explicit offsets selected by the aggregation packet generator,16,0.02265455,1,0.08735567,35,0.03144885,1,0.10236041,1,0.0520203
passkey_exact_seed409_L1024_001,409,passkey_exact,1024,202,202,exact passkey offset chosen by RNG and exposed as the query offset,21,0.01085342,1,0.05386356,9,0.03503808,1,0.06381997,25,0.02820559
multi_needle_seed409_L1024_001,409,multi_needle,1024,28,28,third same-token occurrence in increasing delta order,16,0.01007899,1,0.04855306,3,0.03564388,1,0.05993938,34,0.02601015
aggregation_seed409_L1024_001,409,aggregation,1024,207,207;308,two explicit offsets selected by the aggregation packet generator,2,0.11174649,1,0.08347142,6,0.06390537,1,0.09504933,25,0.0520203
passkey_exact_seed409_L1024_002,409,passkey_exact,1024,605,605,exact passkey offset chosen by RNG and exposed as the query offset,17,0.0080417,1,0.0516863,19,0.0253801,1,0.06531189,15,0.02820559
multi_needle_seed409_L1024_002,409,multi_needle,1024,23,23,third same-token occurrence in increasing delta order,20,0.006966,1,0.05322717,3,0.042681,1,0.0672758,34,0.02601015
aggregation_seed409_L1024_002,409,aggregation,1024,646,646;699,two explicit offsets selected by the aggregation packet generator,1,0.09548282,1,0.07235716,23,0.04311412,1,0.07995876,10,0.0520203
passkey_exact_seed409_L1024_003,409,passkey_exact,1024,786,786,exact passkey offset chosen by RNG and exposed as the query offset,19,0.00731466,1,0.05293595,24,0.02068769,1,0.06532266,10,0.02820559
multi_needle_seed409_L1024_003,409,multi_needle,1024,37,37,third same-token occurrence in increasing delta order,24,0.00782434,1,0.05081729,3,0.03738643,1,0.06513994,34,0.02601015
aggregation_seed409_L1024_003,409,aggregation,1024,912,912;979,two explicit offsets selected by the aggregation packet generator,1,0.09448934,1,0.0831141,32,0.03346476,1,0.08904475,2,0.0520203
passkey_exact_seed419_L128_000,419,passkey_exact,128,100,100,exact passkey offset chosen by RNG and exposed as the query offset,7,0.0200434,1,0.12352347,8,0.07352304,1,0.14232901,4,0.0885933
multi_needle_seed419_L128_000,419,multi_needle,128,17,17,third same-token occurrence in increasing delta order,6,0.02213678,1,0.12229001,3,0.10709367,1,0.14375507,10,0.08139971
aggregation_seed419_L128_000,419,aggregation,128,38,38;48,two explicit offsets selected by the aggregation packet generator,5,0.07363947,1,0.17406163,2,0.17424366,1,0.18192893,10,0.14005505
passkey_exact_seed419_L128_001,419,passkey_exact,128,50,50,exact passkey offset chosen by RNG and exposed as the query offset,4,0.0437356,1,0.13179374,6,0.08826682,1,0.15160428,6,0.0885933
multi_needle_seed419_L128_001,419,multi_needle,128,28,28,third same-token occurrence in increasing delta order,8,0.02484202,1,0.12776969,3,0.10505545,1,0.14814264,10,0.08139971
aggregation_seed419_L128_001,419,aggregation,128,106,106;114,two explicit offsets selected by the aggregation packet generator,4,0.07027341,1,0.17332886,10,0.10629308,1,0.18294135,4,0.14005505
passkey_exact_seed419_L128_002,419,passkey_exact,128,58,58,exact passkey offset chosen by RNG and exposed as the query offset,6,0.038388,1,0.14586364,5,0.08585629,1,0.16765239,7,0.0885933
multi_needle_seed419_L128_002,419,multi_needle,128,41,41,third same-token occurrence in increasing delta order,6,0.04306168,1,0.12255896,3,0.10675795,1,0.13799243,10,0.08139971
aggregation_seed419_L128_002,419,aggregation,128,94,94;102,two explicit offsets selected by the aggregation packet generator,5,0.0479329,1,0.17766097,13,0.09816517,1,0.19633983,1,0.14005505
passkey_exact_seed419_L128_003,419,passkey_exact,128,74,74,exact passkey offset chosen by RNG and exposed as the query offset,4,0.03093563,1,0.13378072,7,0.07641702,1,0.15854831,5,0.0885933
multi_needle_seed419_L128_003,419,multi_needle,128,43,43,third same-token occurrence in increasing delta order,8,0.02703164,1,0.12521823,3,0.09364988,1,0.13957393,10,0.08139971
aggregation_seed419_L128_003,419,aggregation,128,82,82;95,two explicit offsets selected by the aggregation packet generator,7,0.05108715,1,0.17755515,9,0.10937473,1,0.19498208,4,0.14005505
passkey_exact_seed419_L256_000,419,passkey_exact,256,183,183,exact passkey offset chosen by RNG and exposed as the query offset,6,0.05012872,1,0.13785186,9,0.06870879,1,0.15575252,3,0.08617112
multi_needle_seed419_L256_000,419,multi_needle,256,73,73,third same-token occurrence in increasing delta order,6,0.0367539,1,0.13360363,3,0.10103238,1,0.14399096,10,0.07935036
aggregation_seed419_L256_000,419,aggregation,256,190,190;210,two explicit offsets selected by the aggregation packet generator,2,0.26269038,1,0.17915151,10,0.10902201,1,0.18494528,4,0.1370109
passkey_exact_seed419_L256_001,419,passkey_exact,256,177,177,exact passkey offset chosen by RNG and exposed as the query offset,5,0.03365689,1,0.1360887,5,0.08302734,1,0.15962966,7,0.08617112
multi_needle_seed419_L256_001,419,multi_needle,256,43,43,third same-token occurrence in increasing delta order,6,0.04048534,1,0.13569314,3,0.10237759,1,0.15852865,10,0.07935036
aggregation_seed419_L256_001,419,aggregation,256,96,96;116,two explicit offsets selected by the aggregation packet generator,2,0.22474583,1,0.18004311,5,0.1497954,1,0.18051676,8,0.1370109
passkey_exact_seed419_L256_002,419,passkey_exact,256,71,71,exact passkey offset chosen by RNG and exposed as the query offset,4,0.05616751,1,0.13141709,2,0.10501479,1,0.15024502,10,0.08617112
multi_needle_seed419_L256_002,419,multi_needle,256,36,36,third same-token occurrence in increasing delta order,9,0.0334167,1,0.12932145,3,0.10581689,1,0.13782218,10,0.07935036
aggregation_seed419_L256_002,419,aggregation,256,101,101;113,two explicit offsets selected by the aggregation packet generator,8,0.06317732,1,0.20047874,7,0.13106853,1,0.22020439,7,0.1370109
passkey_exact_seed419_L256_003,419,passkey_exact,256,185,185,exact passkey offset chosen by RNG and exposed as the query offset,6,0.03720652,1,0.13119888,7,0.07761403,1,0.14689296,5,0.08617112
multi_needle_seed419_L256_003,419,multi_needle,256,19,19,third same-token occurrence in increasing delta order,4,0.02306559,1,0.13209308,3,0.11998065,1,0.16120679,10,0.07935036
aggregation_seed419_L256_003,419,aggregation,256,173,173;189,two explicit offsets selected by the aggregation packet generator,11,0.04546783,1,0.18274925,9,0.10575271,1,0.20686422,5,0.1370109
passkey_exact_seed419_L512_000,419,passkey_exact,512,433,433,exact passkey offset chosen by RNG and exposed as the query offset,8,0.03360492,1,0.09732652,15,0.03776303,1,0.11395727,3,0.05487118
multi_needle_seed419_L512_000,419,multi_needle,512,16,16,third same-token occurrence in increasing delta order,12,0.01784063,1,0.08738544,3,0.07137187,1,0.10491032,16,0.05202366
aggregation_seed419_L512_000,419,aggregation,512,414,414;437,two explicit offsets selected by the aggregation packet generator,9,0.03823713,1,0.14115027,16,0.06826745,1,0.15171427,2,0.09891419
passkey_exact_seed419_L512_001,419,passkey_exact,512,161,161,exact passkey offset chosen by RNG and exposed as the query offset,8,0.02556092,1,0.09799756,3,0.06811928,1,0.11956171,15,0.05487118
multi_needle_seed419_L512_001,419,multi_needle,512,104,104,third same-token occurrence in increasing delta order,8,0.01750191,1,0.09344811,3,0.06759006,1,0.11549039,16,0.05202366
aggregation_seed419_L512_001,419,aggregation,512,401,401;420,two explicit offsets selected by the aggregation packet generator,2,0.14081268,1,0.14401526,13,0.0761239,1,0.16113211,6,0.09891419
passkey_exact_seed419_L512_002,419,passkey_exact,512,332,332,exact passkey offset chosen by RNG and exposed as the query offset,8,0.02345745,1,0.09293359,10,0.04649808,1,0.10830098,8,0.05487118
multi_needle_seed419_L512_002,419,multi_needle,512,12,12,third same-token occurrence in increasing delta order,10,0.0160962,1,0.09141273,3,0.07692457,1,0.11167522,16,0.05202366
aggregation_seed419_L512_002,419,aggregation,512,375,375;401,two explicit offsets selected by the aggregation packet generator,7,0.05378312,1,0.14251253,13,0.07745169,1,0.17834248,6,0.09891419
passkey_exact_seed419_L512_003,419,passkey_exact,512,449,449,exact passkey offset chosen by RNG and exposed as the query offset,10,0.01533778,1,0.10215999,16,0.03490002,1,0.12627078,2,0.05487118
multi_needle_seed419_L512_003,419,multi_needle,512,65,65,third same-token occurrence in increasing delta order,10,0.02603379,1,0.09186414,3,0.0734002,1,0.11591677,16,0.05202366
aggregation_seed419_L512_003,419,aggregation,512,496,496;508,two explicit offsets selected by the aggregation packet generator,7,0.03384158,1,0.15966473,18,0.05743404,1,0.18560253,1,0.09891419
passkey_exact_seed419_L1024_000,419,passkey_exact,1024,437,437,exact passkey offset chosen by RNG and exposed as the query offset,19,0.01542734,1,0.05365445,14,0.02977543,1,0.06694309,20,0.02820559
multi_needle_seed419_L1024_000,419,multi_needle,1024,80,80,third same-token occurrence in increasing delta order,20,0.0085173,1,0.05006426,3,0.03707415,1,0.06210375,34,0.02601015
aggregation_seed419_L1024_000,419,aggregation,1024,922,922;931,two explicit offsets selected by the aggregation packet generator,21,0.01507721,1,0.08709639,33,0.03261135,1,0.09778595,3,0.0520203
passkey_exact_seed419_L1024_001,419,passkey_exact,1024,845,845,exact passkey offset chosen by RNG and exposed as the query offset,22,0.00850627,1,0.05383155,30,0.02047447,1,0.06949425,4,0.02820559
multi_needle_seed419_L1024_001,419,multi_needle,1024,54,54,third same-token occurrence in increasing delta order,19,0.00972919,1,0.05213765,3,0.03761257,1,0.0629995,34,0.02601015
aggregation_seed419_L1024_001,419,aggregation,1024,393,393;449,two explicit offsets selected by the aggregation packet generator,23,0.01055719,1,0.0824646,12,0.05827209,1,0.09588806,23,0.0520203
passkey_exact_seed419_L1024_002,419,passkey_exact,1024,305,305,exact passkey offset chosen by RNG and exposed as the query offset,20,0.00901613,1,0.05162627,12,0.03095251,1,0.06534335,22,0.02820559
multi_needle_seed419_L1024_002,419,multi_needle,1024,47,47,third same-token occurrence in increasing delta order,19,0.00925473,1,0.05127963,3,0.03877873,1,0.06146456,34,0.02601015
aggregation_seed419_L1024_002,419,aggregation,1024,490,490;593,two explicit offsets selected by the aggregation packet generator,18,0.01520422,1,0.0744442,22,0.04627395,1,0.08284164,11,0.0520203
passkey_exact_seed419_L1024_003,419,passkey_exact,1024,750,750,exact passkey offset chosen by RNG and exposed as the query offset,15,0.0091836,1,0.05192511,25,0.02231075,1,0.06380091,9,0.02820559
multi_needle_seed419_L1024_003,419,multi_needle,1024,55,55,third same-token occurrence in increasing delta order,20,0.0079724,1,0.05046904,3,0.03978489,1,0.06123676,34,0.02601015
aggregation_seed419_L1024_003,419,aggregation,1024,612,612;726,two explicit offsets selected by the aggregation packet generator,7,0.04851889,1,0.07619199,21,0.04369155,1,0.08143152,13,0.0520203
passkey_exact_seed421_L128_000,421,passkey_exact,128,35,35,exact passkey offset chosen by RNG and exposed as the query offset,5,0.02544321,1,0.1291461,6,0.10022533,1,0.14192865,6,0.0885933
multi_needle_seed421_L128_000,421,multi_needle,128,32,32,third same-token occurrence in increasing delta order,8,0.02665053,1,0.12122688,3,0.10141927,1,0.14517033,10,0.08139971
aggregation_seed421_L128_000,421,aggregation,128,59,59;73,two explicit offsets selected by the aggregation packet generator,8,0.07167922,1,0.1765065,5,0.14547514,1,0.20716144,8,0.14005505
passkey_exact_seed421_L128_001,421,passkey_exact,128,99,99,exact passkey offset chosen by RNG and exposed as the query offset,6,0.0237551,1,0.12849977,7,0.07891166,1,0.14892372,5,0.0885933
multi_needle_seed421_L128_001,421,multi_needle,128,58,58,third same-token occurrence in increasing delta order,4,0.04288828,1,0.12832427,3,0.09443206,1,0.15583019,10,0.08139971
aggregation_seed421_L128_001,421,aggregation,128,57,57;70,two explicit offsets selected by the aggregation packet generator,9,0.04614795,1,0.17018393,9,0.12332408,1,0.18595113,3,0.14005505
passkey_exact_seed421_L128_002,421,passkey_exact,128,116,116,exact passkey offset chosen by RNG and exposed as the query offset,6,0.04726811,1,0.12987894,11,0.05770034,1,0.14674418,1,0.0885933
multi_needle_seed421_L128_002,421,multi_needle,128,36,36,third same-token occurrence in increasing delta order,9,0.01791722,1,0.12190635,3,0.09777479,1,0.13996264,10,0.08139971
aggregation_seed421_L128_002,421,aggregation,128,37,37;48,two explicit offsets selected by the aggregation packet generator,8,0.04060691,1,0.1853867,2,0.17088716,1,0.20304563,11,0.14005505
passkey_exact_seed421_L128_003,421,passkey_exact,128,41,41,exact passkey offset chosen by RNG and exposed as the query offset,8,0.05084074,1,0.13136028,2,0.10953096,1,0.14636987,10,0.0885933
multi_needle_seed421_L128_003,421,multi_needle,128,24,24,third same-token occurrence in increasing delta order,5,0.03024607,1,0.12142193,3,0.10743711,1,0.13287021,10,0.08139971
aggregation_seed421_L128_003,421,aggregation,128,56,56;70,two explicit offsets selected by the aggregation packet generator,6,0.04029391,1,0.16798984,5,0.14244929,1,0.18524186,6,0.14005505
passkey_exact_seed421_L256_000,421,passkey_exact,256,196,196,exact passkey offset chosen by RNG and exposed as the query offset,7,0.03308515,1,0.1382805,8,0.06731478,1,0.1514667,4,0.08617112
multi_needle_seed421_L256_000,421,multi_needle,256,27,27,third same-token occurrence in increasing delta order,8,0.02824102,1,0.12520092,3,0.10271108,1,0.13981445,10,0.07935036
aggregation_seed421_L256_000,421,aggregation,256,62,62;79,two explicit offsets selected by the aggregation packet generator,9,0.04298087,1,0.1703395,4,0.15954401,1,0.17922499,10,0.1370109
passkey_exact_seed421_L256_001,421,passkey_exact,256,117,117,exact passkey offset chosen by RNG and exposed as the query offset,5,0.07716869,1,0.13111103,4,0.09446518,1,0.15583155,8,0.08617112
multi_needle_seed421_L256_001,421,multi_needle,256,76,76,third same-token occurrence in increasing delta order,6,0.02342121,1,0.11922984,3,0.09014881,1,0.13960878,10,0.07935036
aggregation_seed421_L256_001,421,aggregation,256,65,65;95,two explicit offsets selected by the aggregation packet generator,4,0.08859399,1,0.17360058,7,0.1449562,1,0.20752706,7,0.1370109
passkey_exact_seed421_L256_002,421,passkey_exact,256,91,91,exact passkey offset chosen by RNG and exposed as the query offset,8,0.02879566,1,0.13661745,5,0.09383317,1,0.16185411,7,0.08617112
