example_id,seed,task,sequence_length,reference_delta,target_deltas,target_rule,phasewrap_rope_8_12_first_relevant_rank,phasewrap_rope_8_12_target_probability_mass,rope_relative_first_relevant_rank,rope_relative_target_probability_mass,alibi_first_relevant_rank,alibi_target_probability_mass,sinusoidal_first_relevant_rank,sinusoidal_target_probability_mass,no_position_first_relevant_rank,no_position_target_probability_mass
multi_needle_seed431_L128_001,431,multi_needle,128,32,32,third same-token occurrence in increasing delta order,7,0.02503746,1,0.12521461,3,0.10076817,1,0.15130541,10,0.08139971
aggregation_seed431_L128_001,431,aggregation,128,114,114;124,two explicit offsets selected by the aggregation packet generator,8,0.04595952,1,0.18013435,12,0.1016392,1,0.19806769,1,0.14005505
passkey_exact_seed431_L128_002,431,passkey_exact,128,24,24,exact passkey offset chosen by RNG and exposed as the query offset,6,0.03449618,1,0.13360923,4,0.10920501,1,0.14901301,8,0.0885933
multi_needle_seed431_L128_002,431,multi_needle,128,48,48,third same-token occurrence in increasing delta order,7,0.02762162,1,0.12266413,3,0.09462141,1,0.14176382,10,0.08139971
aggregation_seed431_L128_002,431,aggregation,128,30,30;44,two explicit offsets selected by the aggregation packet generator,7,0.03846267,1,0.16996388,3,0.16447221,1,0.18287392,9,0.14005505
passkey_exact_seed431_L128_003,431,passkey_exact,128,86,86,exact passkey offset chosen by RNG and exposed as the query offset,5,0.04165074,1,0.12906918,8,0.07451481,1,0.14901689,4,0.0885933
multi_needle_seed431_L128_003,431,multi_needle,128,30,30,third same-token occurrence in increasing delta order,8,0.03062785,1,0.12180087,3,0.09985965,1,0.14391138,10,0.08139971
aggregation_seed431_L128_003,431,aggregation,128,89,89;103,two explicit offsets selected by the aggregation packet generator,5,0.0601752,1,0.18247586,11,0.10123842,1,0.20566938,2,0.14005505
passkey_exact_seed431_L256_000,431,passkey_exact,256,135,135,exact passkey offset chosen by RNG and exposed as the query offset,9,0.02516067,1,0.12765891,5,0.08999093,1,0.14945558,7,0.08617112
multi_needle_seed431_L256_000,431,multi_needle,256,128,128,third same-token occurrence in increasing delta order,6,0.03501416,1,0.12401096,3,0.09089454,1,0.15269834,10,0.07935036
