method,run_count,row_count,feature_dim,hidden_dim,value_embed_dim,parameter_count,loss_mean,loss_ci_low,loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,mean_target_value_probability_mean,mean_target_value_probability_ci_low,mean_target_value_probability_ci_high,target_value_probability_mae_mean,target_value_probability_mae_ci_low,target_value_probability_mae_ci_high,mean_top1_confidence_mean,mean_top1_confidence_ci_low,mean_top1_confidence_ci_high,expected_calibration_error_mean,expected_calibration_error_ci_low,expected_calibration_error_ci_high,mean_first_relevant_value_rank_mean,mean_first_relevant_value_rank_ci_low,mean_first_relevant_value_rank_ci_high
no_position,5,60,12,16,64,33378,5.904,5.861269,5.944523,0.023333,0.006667,0.036667,0.065264,0.053219,0.07589,0.010029,0.00917,0.010856,0.989971,0.989104,0.990828,0.200055,0.186892,0.214356,0.179702,0.162764,0.197352,98.63,94.216667,103.043333
alibi,5,60,12,16,64,33378,5.899008,5.851747,5.933589,0.02,0.016667,0.026667,0.051514,0.044427,0.061532,0.007595,0.00631,0.009286,0.992405,0.990714,0.993573,0.174034,0.153187,0.188163,0.154034,0.135416,0.168006,104.293333,102.76,105.826667
rope_relative,5,60,12,16,64,33378,3.826452,3.777959,3.874945,0.37,0.36,0.38,0.419859,0.409265,0.428981,0.350489,0.340684,0.359334,0.649511,0.640666,0.659391,0.466695,0.457563,0.477991,0.118711,0.108318,0.127436,82.5,80.76,85.01
sinusoidal,5,60,12,16,64,33378,4.078094,4.04577,4.111893,0.276667,0.266667,0.29,0.346272,0.340494,0.352794,0.173487,0.166141,0.180796,0.826513,0.819597,0.834861,0.263951,0.257203,0.271351,0.093673,0.082047,0.10863,84.12,82.876667,85.72
phasewrap_distance_adapter,5,60,12,16,64,33378,4.250465,4.224493,4.274034,0.27,0.26,0.28,0.333913,0.326879,0.340325,0.181079,0.177731,0.183992,0.818921,0.815824,0.821994,0.318586,0.312403,0.326747,0.123851,0.100591,0.145637,80.856667,78.963333,82.75
phasewrap_multiscale_adapter,5,60,12,16,64,33378,4.285269,4.263253,4.310554,0.306667,0.3,0.313334,0.358125,0.352158,0.364277,0.213638,0.211872,0.215417,0.786362,0.784596,0.788128,0.380617,0.375408,0.385192,0.144053,0.116639,0.166436,84.996667,80.306667,89.676667
