method,run_count,row_count,feature_dim,hidden_dim,value_embed_dim,parameter_count,loss_mean,loss_ci_low,loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,mean_target_value_probability_mean,mean_target_value_probability_ci_low,mean_target_value_probability_ci_high,target_value_probability_mae_mean,target_value_probability_mae_ci_low,target_value_probability_mae_ci_high,mean_top1_confidence_mean,mean_top1_confidence_ci_low,mean_top1_confidence_ci_high,expected_calibration_error_mean,expected_calibration_error_ci_low,expected_calibration_error_ci_high,mean_first_relevant_value_rank_mean,mean_first_relevant_value_rank_ci_low,mean_first_relevant_value_rank_ci_high
no_position,5,120,12,16,64,33378,0.002815,0.002783,0.002849,1.0,1.0,1.0,1.0,1.0,1.0,0.99719,0.997158,0.997222,0.00281,0.002778,0.002844,0.831243,0.831218,0.831269,0.168757,0.168731,0.168781,1.0,1.0,1.0
alibi,5,120,12,16,64,33378,0.00273,0.002714,0.002746,1.0,1.0,1.0,1.0,1.0,1.0,0.997275,0.997258,0.997291,0.002725,0.002709,0.002743,0.831306,0.831293,0.831322,0.168694,0.16868,0.168709,1.0,1.0,1.0
rope_relative,5,120,12,16,64,33378,0.002053,0.002009,0.002105,1.0,1.0,1.0,1.0,1.0,1.0,0.997951,0.997898,0.998,0.002049,0.002005,0.002103,0.833255,0.83248,0.834579,0.166745,0.165421,0.167525,1.0,1.0,1.0
sinusoidal,5,120,12,16,64,33378,0.002014,0.001944,0.002101,1.0,1.0,1.0,1.0,1.0,1.0,0.997989,0.997906,0.998052,0.002011,0.001944,0.002104,0.832301,0.832253,0.832356,0.167699,0.167644,0.167745,1.0,1.0,1.0
phasewrap_distance_adapter,5,120,12,16,64,33378,0.001859,0.001849,0.001869,1.0,1.0,1.0,1.0,1.0,1.0,0.998144,0.998132,0.998154,0.001856,0.001846,0.001867,0.832269,0.832264,0.832275,0.167731,0.167725,0.167736,1.0,1.0,1.0
phasewrap_multiscale_adapter,5,120,12,16,64,33378,0.001702,0.001695,0.001709,1.0,1.0,1.0,1.0,1.0,1.0,0.998301,0.998292,0.998307,0.001699,0.001693,0.001707,0.832352,0.832346,0.832357,0.167648,0.167643,0.167654,1.0,1.0,1.0
