row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,3.51037,33.460654,0.4,0.490508,0.186809,0.813191,0.28894,0.251773,68.2,sinusoidal,3823,multi_needle
20,4.209677,67.334808,0.25,0.274709,0.152638,0.847362,0.238395,0.18154,70.7,sinusoidal,3823,aggregation
20,4.682683,108.059573,0.25,0.303783,0.160547,0.839453,0.259436,0.117866,120.15,sinusoidal,3833,passkey_exact
20,3.285339,26.718052,0.35,0.466771,0.211553,0.788447,0.289511,0.168881,45.55,sinusoidal,3833,multi_needle
20,4.225292,68.394464,0.25,0.282752,0.135223,0.864777,0.209433,0.111654,82.75,sinusoidal,3833,aggregation
20,4.679374,107.702601,0.2,0.278874,0.17527,0.82473,0.273472,0.107926,115.15,sinusoidal,3847,passkey_exact
20,3.326316,27.835613,0.45,0.5141,0.228259,0.771741,0.297279,0.205184,65.75,sinusoidal,3847,multi_needle
20,4.184175,65.639334,0.25,0.279964,0.138885,0.861115,0.217944,0.098634,74.85,sinusoidal,3847,aggregation
20,5.290652,198.472789,0.1,0.188757,0.113629,0.886371,0.291538,0.191539,121.8,phasewrap_distance_adapter,3803,passkey_exact
20,3.309063,27.359481,0.45,0.527496,0.27313,0.72687,0.4073,0.190473,55.1,phasewrap_distance_adapter,3803,multi_needle
20,4.283546,72.497065,0.2,0.252117,0.141723,0.858277,0.246602,0.146201,75.25,phasewrap_distance_adapter,3803,aggregation
20,5.307644,201.874138,0.15,0.220882,0.106894,0.893106,0.290549,0.172377,106.8,phasewrap_distance_adapter,3821,passkey_exact
20,3.227306,25.211638,0.45,0.515475,0.27567,0.72433,0.378109,0.238186,52.05,phasewrap_distance_adapter,3821,multi_needle
20,4.222112,68.177321,0.2,0.258516,0.149677,0.850323,0.256478,0.148311,73.55,phasewrap_distance_adapter,3821,aggregation
20,5.277928,195.963342,0.15,0.217136,0.107702,0.892298,0.301716,0.157368,109.3,phasewrap_distance_adapter,3823,passkey_exact
20,3.154032,23.43035,0.5,0.54787,0.293855,0.706145,0.404225,0.233262,51.25,phasewrap_distance_adapter,3823,multi_needle
20,4.361502,78.374786,0.15,0.2274,0.149477,0.850523,0.291634,0.145684,77.0,phasewrap_distance_adapter,3823,aggregation
20,5.113261,166.211535,0.15,0.226352,0.114732,0.885268,0.290557,0.255092,99.3,phasewrap_distance_adapter,3833,passkey_exact
20,3.197701,24.476188,0.5,0.547858,0.293691,0.706309,0.394799,0.249932,57.8,phasewrap_distance_adapter,3833,multi_needle
20,4.368744,78.944384,0.2,0.249132,0.147729,0.852271,0.262253,0.084184,89.1,phasewrap_distance_adapter,3833,aggregation
20,5.114841,166.474258,0.15,0.22663,0.1135,0.8865,0.29309,0.252051,108.9,phasewrap_distance_adapter,3847,passkey_exact
20,3.248119,25.741879,0.5,0.547335,0.287525,0.712475,0.404895,0.263617,61.4,phasewrap_distance_adapter,3847,multi_needle
