method,init_seed_count,row_count,top1_accuracy_mean,top1_accuracy_min,top1_accuracy_max,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_min,mrr_max,mrr_ci_low,mrr_ci_high,mean_target_value_probability_mean,mean_target_value_probability_min,mean_target_value_probability_max,mean_target_value_probability_ci_low,mean_target_value_probability_ci_high,mean_first_relevant_value_rank_mean,mean_first_relevant_value_rank_min,mean_first_relevant_value_rank_max,mean_first_relevant_value_rank_ci_low,mean_first_relevant_value_rank_ci_high,loss_mean,loss_min,loss_max,loss_ci_low,loss_ci_high
no_position,5,60,0.083333,0.083333,0.083333,0.083333,0.083333,0.195125,0.195125,0.195125,0.195125,0.195125,0.042635,0.042635,0.042635,0.042635,0.042635,14.466667,14.466667,14.466667,14.466667,14.466667,3.233878,3.233878,3.233878,3.233878,3.233878
alibi,5,60,0.1,0.1,0.1,0.1,0.1,0.214748,0.214748,0.214748,0.214748,0.214748,0.042713,0.042676,0.042768,0.042676,0.042735,12.216667,12.216667,12.216667,12.216667,12.216667,3.229376,3.226309,3.231469,3.226309,3.230919
rope_relative,5,60,0.983333,0.933333,1.0,0.933333,1.0,0.991667,0.966667,1.0,0.966667,1.0,0.70678,0.680342,0.731759,0.680342,0.717202,1.016667,1.0,1.066667,1.0,1.016667,0.363738,0.324207,0.408355,0.324207,0.383836
sinusoidal,5,60,0.733333,0.733333,0.733333,0.733333,0.733333,0.859722,0.859722,0.859722,0.859722,0.859722,0.473392,0.471383,0.476096,0.471383,0.475488,1.316667,1.316667,1.316667,1.316667,1.316667,0.783815,0.77833,0.787873,0.77833,0.78715
phasewrap_score,5,60,0.05,0.05,0.05,0.05,0.05,0.147274,0.147274,0.147274,0.147274,0.147274,0.051229,0.05066,0.052044,0.05066,0.051401,14.3,14.3,14.3,14.3,14.3,3.036411,3.019176,3.048581,3.019176,3.04187
phasewrap_residual_adapter,5,60,0.5,0.5,0.5,0.5,0.5,0.718056,0.718056,0.718056,0.718056,0.718056,0.332621,0.326535,0.339595,0.326535,0.338025,1.716667,1.716667,1.716667,1.716667,1.716667,1.15863,1.138609,1.176199,1.138609,1.172031
phasewrap_distance_adapter,5,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.522507,0.515931,0.529001,0.515931,0.525403,1.0,1.0,1.0,1.0,1.0,0.66883,0.655274,0.682822,0.655274,0.672708
