row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_value_probability,target_value_probability_ci_low,target_value_probability_ci_high,mean_first_relevant_value_rank,method
60,3.233878,25.377885,0.083333,0.016667,0.166667,0.195125,0.127224,0.268153,0.042635,0.038047,0.04718,14.466667,no_position
60,3.194127,24.388884,0.1,0.016667,0.166667,0.214748,0.153077,0.289779,0.043489,0.039972,0.047858,12.216667,alibi
60,0.19911,1.220316,1.0,1.0,1.0,1.0,1.0,1.0,0.824888,0.801735,0.846354,1.0,rope_relative
60,0.983057,2.672615,0.733333,0.616667,0.833333,0.859722,0.802778,0.913889,0.386298,0.362154,0.408651,1.316667,sinusoidal
60,3.062697,21.385156,0.05,0.0,0.1,0.147274,0.091964,0.217219,0.05001,0.045229,0.05544,14.3,phasewrap_score
60,1.374143,3.951689,0.5,0.383333,0.616667,0.718056,0.640278,0.8,0.266586,0.245579,0.288373,1.716667,phasewrap_residual_adapter
60,0.871356,2.390149,1.0,1.0,1.0,1.0,1.0,1.0,0.432405,0.403621,0.462192,1.0,phasewrap_distance_adapter
