row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,0.712968,2.040038,0.85,0.925,0.50886,0.507355,0.49114,0.511212,0.418131,1.15,sinusoidal,3613,passkey_exact
20,0.725055,2.064845,0.95,0.975,0.495806,0.495195,0.504194,0.496238,0.453762,1.05,sinusoidal,3613,multi_needle
20,0.802868,2.231932,0.6,0.8,0.46359,0.451317,0.53641,0.463779,0.258345,1.4,sinusoidal,3613,aggregation
20,0.703963,2.021749,0.85,0.925,0.513009,0.511496,0.486991,0.515575,0.373854,1.15,sinusoidal,3617,passkey_exact
20,0.690173,1.994061,0.95,0.975,0.513084,0.512454,0.486916,0.514191,0.435809,1.05,sinusoidal,3617,multi_needle
20,0.804487,2.235549,0.6,0.791667,0.462809,0.450419,0.537191,0.468488,0.259725,1.45,sinusoidal,3617,aggregation
20,0.700037,2.013827,0.9,0.95,0.515102,0.513562,0.484898,0.517169,0.382831,1.1,sinusoidal,3623,passkey_exact
20,0.696055,2.005823,0.95,0.975,0.510452,0.509819,0.489548,0.512151,0.437849,1.05,sinusoidal,3623,multi_needle
20,0.798565,2.222349,0.6,0.791667,0.465169,0.452747,0.534831,0.468326,0.258291,1.45,sinusoidal,3623,aggregation
20,0.706883,2.027662,0.9,0.95,0.511696,0.51019,0.488304,0.513681,0.386319,1.1,sinusoidal,3631,passkey_exact
20,0.710275,2.034551,0.95,0.975,0.503226,0.502601,0.496774,0.504515,0.445485,1.05,sinusoidal,3631,multi_needle
20,0.801823,2.229602,0.6,0.791667,0.463747,0.451438,0.536253,0.465565,0.258552,1.45,sinusoidal,3631,aggregation
20,0.905127,2.472245,1.0,1.0,0.416805,0.415608,0.583195,0.416805,0.583195,1.0,phasewrap_distance_adapter,3607,passkey_exact
20,0.747195,2.111069,1.0,1.0,0.489305,0.482632,0.510695,0.489305,0.510695,1.0,phasewrap_distance_adapter,3607,multi_needle
20,0.893646,2.444024,1.0,1.0,0.418978,0.416663,0.581022,0.393408,0.606592,1.0,phasewrap_distance_adapter,3607,aggregation
20,0.887704,2.429544,1.0,1.0,0.42308,0.421989,0.57692,0.42308,0.57692,1.0,phasewrap_distance_adapter,3613,passkey_exact
20,0.706714,2.027319,1.0,1.0,0.508188,0.5013,0.491812,0.508188,0.491812,1.0,phasewrap_distance_adapter,3613,multi_needle
20,0.890043,2.435234,1.0,1.0,0.418652,0.416259,0.581348,0.395267,0.604733,1.0,phasewrap_distance_adapter,3613,aggregation
20,0.891787,2.439486,1.0,1.0,0.421764,0.420607,0.578236,0.421764,0.578236,1.0,phasewrap_distance_adapter,3617,passkey_exact
20,0.721615,2.057753,1.0,1.0,0.501035,0.494491,0.498965,0.501035,0.498965,1.0,phasewrap_distance_adapter,3617,multi_needle
20,0.885926,2.42523,1.0,1.0,0.421368,0.419022,0.578632,0.396629,0.603371,1.0,phasewrap_distance_adapter,3617,aggregation
20,0.898644,2.456269,1.0,1.0,0.419198,0.418008,0.580802,0.419198,0.580802,1.0,phasewrap_distance_adapter,3623,passkey_exact
20,0.736051,2.087675,1.0,1.0,0.494644,0.488178,0.505356,0.494644,0.505356,1.0,phasewrap_distance_adapter,3623,multi_needle
20,0.885635,2.424523,1.0,1.0,0.422165,0.419817,0.577835,0.395702,0.604298,1.0,phasewrap_distance_adapter,3623,aggregation
20,0.87385,2.396119,1.0,1.0,0.4288,0.427676,0.5712,0.4288,0.5712,1.0,phasewrap_distance_adapter,3631,passkey_exact
20,0.701524,2.016823,1.0,1.0,0.510304,0.503856,0.489696,0.510304,0.489696,1.0,phasewrap_distance_adapter,3631,multi_needle
20,0.876151,2.401638,1.0,1.0,0.424538,0.422152,0.575462,0.401325,0.598675,1.0,phasewrap_distance_adapter,3631,aggregation
