microseconds_per_shot,estimated_quantum_seconds,estimated_usd,within_budget_cap
5.0,6.5736,10.51776,True
10.0,13.1472,21.03552,True
11.9,15.645168,25.0322688,True
25.0,32.868,52.588800000000006,True
50.0,65.736,105.17760000000001,True
100.0,131.472,210.35520000000002,True
