source_lane_id,circuit_template,phasewrap_normalized_noise_sensitivity_delta,best_positional_normalized_noise_sensitivity_delta,matched_null_control_normalized_noise_sensitivity_delta,positional_margin_shot_quanta,matched_null_control_margin_shot_quanta,stable_full_replacement_hardware_target
ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,0.056685851326,0.073769844696,0.079247941245,69.976037,92.41432,True
ibm_cx_seed577_rows16_shots4096,two_ry_cx_parity_z_readout_v1,0.058017065101,0.082663826272,0.072315604516,100.953134,58.566817,True
ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,0.027709086969,0.038479772049,0.039844211824,44.116726,49.705471,True
ibm_product_seed577_rows16_shots4096,two_ry_product_state_z_readout_v1,0.037817399951,0.039628485677,0.042044413566,7.418207,17.313848,True
