row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,mean_generator_target_probability,mean_copy_gate,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,0.059735,1.061555,1.0,1.0,0.943337,0.998934,0.00414,0.944184,0.056663,0.943337,0.056663,1.0,rope_relative,4229,passkey_exact
20,0.077504,1.080587,1.0,1.0,0.926694,0.998811,0.003567,0.927714,0.073306,0.926694,0.073306,1.0,rope_relative,4229,multi_needle
20,0.053083,1.054518,1.0,1.0,0.949485,0.999584,0.008031,0.949552,0.050515,0.949322,0.050678,1.0,rope_relative,4229,aggregation
20,0.538361,1.713196,0.75,0.866667,0.666395,0.699395,0.00403,0.954766,0.333605,0.731009,0.213398,1.3,sinusoidal,4201,passkey_exact
20,0.313474,1.36817,0.9,0.95,0.781199,0.831254,0.003746,0.943669,0.218801,0.784316,0.11785,1.1,sinusoidal,4201,multi_needle
20,0.383711,1.467721,0.7,0.85,0.750225,0.785203,0.008246,0.955343,0.249775,0.799628,0.158315,1.3,sinusoidal,4201,aggregation
20,0.596649,1.816023,0.6,0.791667,0.644864,0.688743,0.004091,0.939242,0.355136,0.731857,0.224701,1.45,sinusoidal,4211,passkey_exact
20,0.310202,1.363701,1.0,1.0,0.773214,0.841402,0.003732,0.924369,0.226786,0.773214,0.226786,1.0,sinusoidal,4211,multi_needle
20,0.416726,1.516986,0.7,0.85,0.73146,0.779497,0.008145,0.939526,0.26854,0.790403,0.173939,1.3,sinusoidal,4211,aggregation
20,0.545146,1.72486,0.7,0.841667,0.662711,0.698067,0.004085,0.95135,0.337289,0.726735,0.166416,1.35,sinusoidal,4217,passkey_exact
20,0.317937,1.37429,0.9,0.95,0.776329,0.832034,0.003693,0.937283,0.223671,0.778263,0.153002,1.1,sinusoidal,4217,multi_needle
20,0.382884,1.466509,0.7,0.85,0.749923,0.785523,0.008126,0.954948,0.250077,0.79719,0.157644,1.3,sinusoidal,4217,aggregation
20,0.560304,1.751205,0.6,0.791667,0.65931,0.69352,0.004054,0.952728,0.34069,0.733319,0.213085,1.45,sinusoidal,4219,passkey_exact
20,0.307061,1.359424,0.95,0.975,0.780713,0.835765,0.00373,0.938654,0.219287,0.780758,0.169242,1.05,sinusoidal,4219,multi_needle
20,0.387665,1.473536,0.65,0.825,0.747452,0.784225,0.008207,0.95372,0.252548,0.796527,0.209776,1.35,sinusoidal,4219,aggregation
20,0.575669,1.77832,0.6,0.791667,0.655881,0.689514,0.004145,0.954538,0.344119,0.743273,0.208409,1.45,sinusoidal,4229,passkey_exact
20,0.286234,1.331404,1.0,1.0,0.792624,0.841326,0.003732,0.945954,0.207376,0.792624,0.207376,1.0,sinusoidal,4229,multi_needle
20,0.404059,1.497892,0.7,0.85,0.740932,0.77932,0.008175,0.951048,0.259068,0.800126,0.166679,1.3,sinusoidal,4229,aggregation
20,0.114729,1.121569,1.0,1.0,0.90042,0.94345,0.004238,0.955543,0.09958,0.90042,0.09958,1.0,phasewrap_distance_adapter,4201,passkey_exact
20,0.217652,1.243154,0.9,0.95,0.841801,0.905054,0.003628,0.931294,0.158199,0.876095,0.11804,1.1,phasewrap_distance_adapter,4201,multi_needle
20,0.081306,1.084703,1.0,1.0,0.925642,0.976426,0.008159,0.948428,0.074358,0.920053,0.079947,1.0,phasewrap_distance_adapter,4201,aggregation
20,0.105684,1.11147,1.0,1.0,0.909619,0.940937,0.004224,0.967605,0.090381,0.909619,0.090381,1.0,phasewrap_distance_adapter,4211,passkey_exact
20,0.208771,1.232163,0.9,0.95,0.856618,0.902544,0.00367,0.949578,0.143382,0.898411,0.104786,1.1,phasewrap_distance_adapter,4211,multi_needle
20,0.067863,1.070219,1.0,1.0,0.937887,0.97575,0.008291,0.961532,0.062113,0.93192,0.06808,1.0,phasewrap_distance_adapter,4211,aggregation
20,0.105635,1.111416,1.0,1.0,0.907274,0.949703,0.004217,0.956046,0.092726,0.907274,0.092726,1.0,phasewrap_distance_adapter,4217,passkey_exact
20,0.1788,1.195782,0.9,0.95,0.856017,0.920848,0.003658,0.931004,0.143983,0.864517,0.138028,1.1,phasewrap_distance_adapter,4217,multi_needle
20,0.081321,1.08472,1.0,1.0,0.925319,0.977754,0.008221,0.946789,0.074681,0.918767,0.081233,1.0,phasewrap_distance_adapter,4217,aggregation
20,0.088095,1.092092,1.0,1.0,0.92289,0.951821,0.004302,0.970259,0.07711,0.92289,0.07711,1.0,phasewrap_distance_adapter,4219,passkey_exact
20,0.171291,1.186837,0.9,0.95,0.873363,0.916784,0.00355,0.953458,0.126637,0.899604,0.122873,1.1,phasewrap_distance_adapter,4219,multi_needle
20,0.055882,1.057472,1.0,1.0,0.94862,0.979127,0.007976,0.969065,0.05138,0.942932,0.057068,1.0,phasewrap_distance_adapter,4219,aggregation
20,0.086475,1.090325,1.0,1.0,0.925462,0.946105,0.004238,0.978684,0.074538,0.925462,0.074538,1.0,phasewrap_distance_adapter,4229,passkey_exact
20,0.163974,1.178183,0.9,0.95,0.880052,0.911686,0.003691,0.965902,0.119948,0.906642,0.086371,1.1,phasewrap_distance_adapter,4229,multi_needle
20,0.050642,1.051946,1.0,1.0,0.953727,0.977003,0.008255,0.976364,0.046273,0.947256,0.052744,1.0,phasewrap_distance_adapter,4229,aggregation
20,0.169947,1.185243,0.9,0.95,0.867391,0.925013,0.004169,0.939937,0.132609,0.872723,0.121042,1.1,phasewrap_multiscale_adapter,4201,passkey_exact
