method,run_count,row_count,feature_dim,hidden_dim,value_embed_dim,parameter_count,attention_scope,value_output_mode,curriculum,loss_mean,loss_ci_low,loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,mean_target_value_probability_mean,mean_target_value_probability_ci_low,mean_target_value_probability_ci_high,mean_target_attention_probability_mean,mean_target_attention_probability_ci_low,mean_target_attention_probability_ci_high,mean_generator_target_probability_mean,mean_generator_target_probability_ci_low,mean_generator_target_probability_ci_high,mean_copy_gate_mean,mean_copy_gate_ci_low,mean_copy_gate_ci_high,target_value_probability_mae_mean,target_value_probability_mae_ci_low,target_value_probability_mae_ci_high,mean_top1_confidence_mean,mean_top1_confidence_ci_low,mean_top1_confidence_ci_high,expected_calibration_error_mean,expected_calibration_error_ci_low,expected_calibration_error_ci_high,mean_first_relevant_value_rank_mean,mean_first_relevant_value_rank_ci_low,mean_first_relevant_value_rank_ci_high
no_position,5,180,14,16,8,4635,full_prefix_sequence_tokens,trainable_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,2.32666,2.325157,2.328035,0.161111,0.157778,0.163334,0.345061,0.34051,0.349097,0.10305,0.102861,0.103254,0.10359,0.103429,0.103743,0.008684,0.008383,0.008973,0.994229,0.993409,0.995116,0.89695,0.896738,0.897154,0.113066,0.11239,0.113668,0.048045,0.04541,0.050482,5.727778,5.702222,5.76
alibi,5,180,14,16,8,4635,full_prefix_sequence_tokens,trainable_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,2.330326,2.328732,2.331625,0.132223,0.112223,0.152223,0.321534,0.307649,0.334455,0.102645,0.102551,0.102744,0.103149,0.10309,0.10323,0.008643,0.008458,0.008846,0.994592,0.993706,0.995691,0.897355,0.897268,0.897461,0.111899,0.110041,0.114505,0.039854,0.033175,0.046534,5.803334,5.755556,5.838889
rope_relative,5,180,14,16,8,4635,full_prefix_sequence_tokens,trainable_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.002647,0.00249,0.002823,1.0,1.0,1.0,1.0,1.0,1.0,0.997362,0.997179,0.99752,0.999286,0.99924,0.999332,0.007644,0.007594,0.007705,0.99806,0.997906,0.998209,0.002638,0.002468,0.002821,0.997358,0.997171,0.997516,0.002642,0.002484,0.002844,1.0,1.0,1.0
sinusoidal,5,180,14,16,8,4635,full_prefix_sequence_tokens,trainable_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.058407,0.057062,0.059752,0.952222,0.95,0.954445,0.975185,0.974074,0.976296,0.958851,0.958276,0.959426,0.960775,0.960296,0.961312,0.007543,0.007492,0.007586,0.997838,0.997523,0.998119,0.041149,0.04058,0.041823,0.962115,0.961364,0.962859,0.023156,0.018649,0.027662,1.053334,1.051111,1.055556
phasewrap_distance_adapter,5,180,14,16,8,4635,full_prefix_sequence_tokens,trainable_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.006759,0.006287,0.007306,1.0,1.0,1.0,1.0,1.0,1.0,0.993432,0.992939,0.993884,0.995394,0.995057,0.995756,0.007862,0.007766,0.007996,0.998012,0.997791,0.998308,0.006568,0.006116,0.007061,0.99211,0.991613,0.992568,0.00789,0.007432,0.008387,1.0,1.0,1.0
phasewrap_multiscale_adapter,5,180,14,16,8,4635,full_prefix_sequence_tokens,trainable_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.012574,0.011531,0.01386,1.0,1.0,1.0,1.0,1.0,1.0,0.988232,0.987106,0.98906,0.990549,0.989588,0.99141,0.007688,0.007597,0.007791,0.997624,0.997481,0.997707,0.011768,0.010866,0.012731,0.988228,0.987102,0.989056,0.011772,0.01087,0.012735,1.0,1.0,1.0
