method,run_count,row_count,feature_dim,hidden_dim,value_embed_dim,parameter_count,attention_scope,value_output_mode,curriculum,loss_mean,loss_ci_low,loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,mean_target_value_probability_mean,mean_target_value_probability_ci_low,mean_target_value_probability_ci_high,mean_target_attention_probability_mean,mean_target_attention_probability_ci_low,mean_target_attention_probability_ci_high,mean_generator_target_probability_mean,mean_generator_target_probability_ci_low,mean_generator_target_probability_ci_high,mean_copy_gate_mean,mean_copy_gate_ci_low,mean_copy_gate_ci_high,target_value_probability_mae_mean,target_value_probability_mae_ci_low,target_value_probability_mae_ci_high,mean_top1_confidence_mean,mean_top1_confidence_ci_low,mean_top1_confidence_ci_high,expected_calibration_error_mean,expected_calibration_error_ci_low,expected_calibration_error_ci_high,mean_first_relevant_value_rank_mean,mean_first_relevant_value_rank_ci_low,mean_first_relevant_value_rank_ci_high
no_position,5,60,14,16,8,4635,full_prefix_sequence_tokens,trainable_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,3.225986,3.223475,3.228216,0.07,0.066667,0.076667,0.197315,0.194094,0.20269,0.042548,0.042499,0.042626,0.042847,0.042776,0.042932,0.005119,0.005097,0.00514,0.992051,0.990877,0.993265,0.957452,0.957374,0.957498,0.059883,0.059708,0.060057,0.010117,0.006663,0.016731,13.733333,13.706667,13.756667
alibi,5,60,14,16,8,4635,full_prefix_sequence_tokens,trainable_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,3.221112,3.219553,3.222417,0.086667,0.073334,0.096667,0.213817,0.205244,0.222637,0.042753,0.042667,0.042843,0.043037,0.042956,0.043139,0.005222,0.005191,0.005256,0.992436,0.991212,0.993932,0.957247,0.957153,0.957333,0.060018,0.059449,0.060811,0.027323,0.017018,0.037879,13.34,13.253333,13.44
rope_relative,5,60,14,16,8,4635,full_prefix_sequence_tokens,trainable_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.065565,0.063071,0.069964,1.0,1.0,1.0,1.0,1.0,1.0,0.937847,0.933729,0.940112,0.998654,0.998372,0.998883,0.00529,0.005266,0.005314,0.938914,0.934905,0.941184,0.062153,0.059835,0.066271,0.937789,0.933761,0.940056,0.062211,0.059934,0.066389,1.0,1.0,1.0
sinusoidal,5,60,14,16,8,4635,full_prefix_sequence_tokens,trainable_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.421739,0.414446,0.431448,0.763333,0.746667,0.776667,0.878889,0.870556,0.885556,0.727549,0.721833,0.731358,0.770986,0.770314,0.771764,0.005329,0.005314,0.005343,0.946476,0.940451,0.950382,0.272451,0.268773,0.278167,0.770616,0.767062,0.775014,0.131095,0.115763,0.149707,1.253333,1.24,1.27
phasewrap_distance_adapter,5,60,14,16,8,4635,full_prefix_sequence_tokens,trainable_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.118541,0.106565,0.130518,0.966667,0.966667,0.966667,0.983333,0.983333,0.983333,0.904314,0.895506,0.913199,0.944999,0.941161,0.94842,0.005354,0.005313,0.005389,0.957437,0.947795,0.967079,0.095686,0.085843,0.105578,0.911458,0.900947,0.921199,0.077651,0.068677,0.085966,1.033333,1.033333,1.033333
phasewrap_multiscale_adapter,5,60,14,16,8,4635,full_prefix_sequence_tokens,trainable_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.144348,0.137395,0.149815,0.946667,0.936666,0.96,0.973333,0.968334,0.978333,0.880976,0.876835,0.886812,0.943023,0.940628,0.945159,0.005313,0.005279,0.00534,0.935214,0.931028,0.940186,0.119024,0.114057,0.1236,0.878121,0.87375,0.883753,0.09745,0.08855,0.106126,1.053333,1.043333,1.063334
