row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_value_probability,target_value_probability_ci_low,target_value_probability_ci_high,mean_first_relevant_value_rank,method
60,3.233878,25.377885,0.083333,0.016667,0.166667,0.195125,0.127224,0.268153,0.042635,0.038047,0.04718,14.466667,no_position
60,3.228394,25.239086,0.1,0.016667,0.166667,0.214748,0.153077,0.289779,0.04273,0.038672,0.047658,12.216667,alibi
60,0.409745,1.506434,0.933333,0.85,0.983333,0.966667,0.933333,0.991667,0.67821,0.642931,0.708028,1.066667,rope_relative
60,0.777678,2.176413,0.733333,0.616667,0.833333,0.859722,0.802778,0.913889,0.476457,0.445063,0.505503,1.316667,sinusoidal
60,3.042409,20.955656,0.05,0.0,0.1,0.147274,0.091964,0.217219,0.050945,0.046073,0.056239,14.3,phasewrap_score
60,1.141449,3.131302,0.5,0.383333,0.616667,0.718056,0.640278,0.8,0.338508,0.307704,0.366666,1.716667,phasewrap_residual_adapter
60,0.681925,1.977682,1.0,1.0,1.0,1.0,1.0,1.0,0.516181,0.490221,0.545538,1.0,phasewrap_distance_adapter
