provider,env_ready_for_stage106,sdk_ready_for_stage111,ready_for_preflight_rerun,missing_env_groups,present_env_keys,missing_sdk_modules
amazon_braket,False,False,False,AWS_ACCESS_KEY_ID or AWS_PROFILE; QROPE_BRAKET_DEVICE_ARN or QROPE_BRAKET_DEVICE_ARNS; QROPE_BRAKET_OUTPUT_S3_BUCKET; QROPE_BRAKET_AWS_REGION or AWS_REGION; QROPE_HARDWARE_BUDGET_USD_CAP; QROPE_HARDWARE_QUEUE_DEPTH_CAP,,boto3; braket
ibm_runtime,False,True,False,IBM_QUANTUM_TOKEN or QISKIT_IBM_TOKEN; QROPE_IBM_BACKEND or QROPE_HARDWARE_BACKEND; IBM_QUANTUM_INSTANCE_CRN; QROPE_HARDWARE_BUDGET_USD_CAP; QROPE_HARDWARE_QUEUE_DEPTH_CAP,,
