window_id,provider,submission_ready,calibration_job_count,packet_job_count,total_job_count,blockers
amazon_braket__independent_window_00,amazon_braket,False,4,80,84,provider_sdk_missing; stage106_provider_preflight_not_ready; stage111_provider_not_ready
amazon_braket__independent_window_01,amazon_braket,False,4,80,84,provider_sdk_missing; stage106_provider_preflight_not_ready; stage111_provider_not_ready
ibm_runtime__independent_window_00,ibm_runtime,False,4,160,164,stage106_provider_preflight_not_ready; stage111_provider_not_ready
ibm_runtime__independent_window_01,ibm_runtime,False,4,160,164,stage106_provider_preflight_not_ready; stage111_provider_not_ready
