row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,16.104305,9863040.285217,0.0,0.043053,0.009227,0.990773,0.634082,0.634082,122.15,sinusoidal,4007,passkey_exact
20,15.840462,7575742.801193,0.05,0.061106,0.034859,0.965141,0.596069,0.546069,142.85,sinusoidal,4007,multi_needle
20,11.880782,144463.536317,0.05,0.098161,0.02898,0.97102,0.698868,0.648868,76.65,sinusoidal,4007,aggregation
20,14.262688,1563891.64721,0.0,0.038471,0.004766,0.995234,0.595508,0.595508,120.0,sinusoidal,4013,passkey_exact
20,13.692463,884221.302662,0.05,0.065827,0.035022,0.964978,0.504687,0.454687,124.5,sinusoidal,4013,multi_needle
20,9.763337,17384.549637,0.0,0.068499,0.014177,0.985823,0.624069,0.624069,73.15,sinusoidal,4013,aggregation
20,17.049076,25369945.821565,0.0,0.043927,0.018961,0.981039,0.552,0.552,121.65,sinusoidal,4019,passkey_exact
20,18.28488,87301671.115555,0.0,0.014864,0.000301,0.999699,0.539451,0.539451,140.2,sinusoidal,4019,multi_needle
20,13.391111,654162.610284,0.0,0.07827,0.013928,0.986072,0.658932,0.658932,85.15,sinusoidal,4019,aggregation
20,14.595415,2181264.631004,0.0,0.013037,0.000246,0.999754,0.538287,0.538287,126.8,phasewrap_distance_adapter,4001,passkey_exact
20,13.749058,935707.174154,0.05,0.070852,0.042739,0.957261,0.458833,0.427647,137.4,phasewrap_distance_adapter,4001,multi_needle
20,10.372607,31971.723779,0.1,0.146836,0.060808,0.939192,0.535639,0.435639,81.55,phasewrap_distance_adapter,4001,aggregation
20,14.02782,1236530.968044,0.0,0.029583,0.004127,0.995873,0.451649,0.451649,127.2,phasewrap_distance_adapter,4003,passkey_exact
20,13.367042,638605.602681,0.05,0.062773,0.026256,0.973744,0.386991,0.336991,128.6,phasewrap_distance_adapter,4003,multi_needle
20,8.952394,7726.364641,0.1,0.135641,0.058999,0.941001,0.443725,0.343725,73.15,phasewrap_distance_adapter,4003,aggregation
20,12.711004,331374.273405,0.0,0.0278,0.005036,0.994964,0.367486,0.367486,123.5,phasewrap_distance_adapter,4007,passkey_exact
20,13.524908,747812.790599,0.0,0.047924,0.013055,0.986945,0.396902,0.396902,144.6,phasewrap_distance_adapter,4007,multi_needle
20,10.586138,39582.326869,0.0,0.060281,0.01,0.99,0.367867,0.367867,87.65,phasewrap_distance_adapter,4007,aggregation
