method,run_count,row_count,feature_dim,hidden_dim,value_embed_dim,parameter_count,attention_scope,curriculum,loss_mean,loss_ci_low,loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,mean_target_value_probability_mean,mean_target_value_probability_ci_low,mean_target_value_probability_ci_high,target_value_probability_mae_mean,target_value_probability_mae_ci_low,target_value_probability_mae_ci_high,mean_top1_confidence_mean,mean_top1_confidence_ci_low,mean_top1_confidence_ci_high,expected_calibration_error_mean,expected_calibration_error_ci_low,expected_calibration_error_ci_high,mean_first_relevant_value_rank_mean,mean_first_relevant_value_rank_ci_low,mean_first_relevant_value_rank_ci_high
no_position,5,180,14,16,48,25186,full_prefix_sequence_tokens,train_128_256_512_validate_1024_test_2048,2.090943,1.929017,2.308223,0.452222,0.432222,0.467778,0.602524,0.57986,0.620552,0.185842,0.169279,0.202104,0.814158,0.798401,0.834219,0.190908,0.17058,0.205682,0.261314,0.240099,0.28705,3.984444,3.314444,4.798889
alibi,5,180,14,16,48,25186,full_prefix_sequence_tokens,train_128_256_512_validate_1024_test_2048,2.087645,1.81491,2.390771,0.441111,0.387778,0.496666,0.58908,0.540829,0.63733,0.186901,0.150978,0.222245,0.813099,0.782738,0.849022,0.196461,0.163661,0.225543,0.24465,0.21317,0.274028,4.144445,3.072222,5.343334
rope_relative,5,180,14,16,48,25186,full_prefix_sequence_tokens,train_128_256_512_validate_1024_test_2048,0.52265,0.333564,0.726575,0.857778,0.817778,0.895556,0.922715,0.901459,0.944204,0.654614,0.548969,0.763554,0.345386,0.236446,0.454326,0.586433,0.498929,0.673937,0.271345,0.171643,0.359066,1.198889,1.13,1.292222
sinusoidal,5,180,14,16,48,25186,full_prefix_sequence_tokens,train_128_256_512_validate_1024_test_2048,0.163938,0.13237,0.195505,0.954444,0.944444,0.965556,0.976852,0.970741,0.981852,0.873103,0.848565,0.897641,0.126897,0.103081,0.151728,0.745092,0.724007,0.765781,0.209352,0.179073,0.239619,1.047778,1.038889,1.057778
phasewrap_distance_adapter,5,180,14,16,48,25186,full_prefix_sequence_tokens,train_128_256_512_validate_1024_test_2048,0.169072,0.126966,0.209909,0.954444,0.917778,0.974445,0.975926,0.955926,0.986852,0.86809,0.831292,0.896076,0.13191,0.101661,0.162458,0.740575,0.720856,0.761514,0.213869,0.192663,0.235022,1.053333,1.027778,1.102222
phasewrap_multiscale_adapter,5,180,14,16,48,25186,full_prefix_sequence_tokens,train_128_256_512_validate_1024_test_2048,0.092854,0.053123,0.157145,0.972222,0.963334,0.977778,0.985648,0.980278,0.988889,0.927854,0.883396,0.957083,0.072146,0.042917,0.118821,0.787914,0.750256,0.811786,0.184308,0.1644,0.211602,1.031111,1.022222,1.046667
