method,run_count,row_count,feature_dim,hidden_dim,parameter_count,attention_scope,value_output_mode,curriculum,loss_mean,loss_ci_low,loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,mean_target_value_probability_mean,mean_target_value_probability_ci_low,mean_target_value_probability_ci_high,mean_target_attention_probability_mean,mean_target_attention_probability_ci_low,mean_target_attention_probability_ci_high,target_value_probability_mae_mean,target_value_probability_mae_ci_low,target_value_probability_mae_ci_high,mean_top1_confidence_mean,mean_top1_confidence_ci_low,mean_top1_confidence_ci_high,expected_calibration_error_mean,expected_calibration_error_ci_low,expected_calibration_error_ci_high,mean_first_relevant_value_rank_mean,mean_first_relevant_value_rank_ci_low,mean_first_relevant_value_rank_ci_high
no_position,5,60,14,16,257,full_prefix_sequence_tokens,copy_attention_mass_to_observed_prefix_token_ids,train_128_256_512_validate_1024_test_2048,3.324059,3.322247,3.325599,0.033333,0.033333,0.033333,0.13296,0.13196,0.133961,0.040492,0.040426,0.040559,0.040492,0.040427,0.040559,0.959508,0.959441,0.959574,0.063272,0.062664,0.063847,0.029939,0.029338,0.030514,16.226667,16.043333,16.376667
alibi,5,60,14,16,257,full_prefix_sequence_tokens,copy_attention_mass_to_observed_prefix_token_ids,train_128_256_512_validate_1024_test_2048,3.341252,3.335845,3.348392,0.033333,0.033333,0.033333,0.124564,0.12258,0.126548,0.040144,0.040014,0.040253,0.040144,0.040019,0.040253,0.959856,0.959749,0.959979,0.064752,0.064344,0.065351,0.031419,0.030988,0.031948,16.793333,16.62,16.953334
rope_relative,5,60,14,16,257,full_prefix_sequence_tokens,copy_attention_mass_to_observed_prefix_token_ids,train_128_256_512_validate_1024_test_2048,0.000167,8.3e-05,0.000291,1.0,1.0,1.0,1.0,1.0,1.0,0.999834,0.999698,0.999921,0.999834,0.999699,0.999923,0.000166,7.9e-05,0.00029,0.999834,0.999698,0.999923,0.000166,8.5e-05,0.00029,1.0,1.0,1.0
sinusoidal,5,60,14,16,257,full_prefix_sequence_tokens,copy_attention_mass_to_observed_prefix_token_ids,train_128_256_512_validate_1024_test_2048,0.472047,0.441033,0.500295,0.736666,0.733333,0.743333,0.86,0.858333,0.863333,0.761534,0.75915,0.764148,0.761534,0.759244,0.763874,0.238466,0.236083,0.24085,0.861675,0.852575,0.870466,0.128622,0.122431,0.135105,1.313334,1.306667,1.316667
phasewrap_distance_adapter,5,60,14,16,257,full_prefix_sequence_tokens,copy_attention_mass_to_observed_prefix_token_ids,train_128_256_512_validate_1024_test_2048,0.069756,0.068602,0.071141,0.966667,0.966667,0.966667,0.983333,0.983333,0.983333,0.948542,0.947942,0.949048,0.948542,0.947897,0.949048,0.051458,0.050974,0.052103,0.956048,0.955612,0.956459,0.043022,0.04255,0.043639,1.033333,1.033333,1.033333
phasewrap_multiscale_adapter,5,60,14,16,257,full_prefix_sequence_tokens,copy_attention_mass_to_observed_prefix_token_ids,train_128_256_512_validate_1024_test_2048,0.038066,0.037505,0.038619,1.0,1.0,1.0,1.0,1.0,1.0,0.969476,0.969121,0.969861,0.969476,0.969121,0.969827,0.030524,0.03017,0.030859,0.961303,0.96094,0.961665,0.038697,0.038335,0.03906,1.0,1.0,1.0
