row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,0.620976,1.860742,0.65,0.816667,0.693559,0.693559,0.306441,0.815269,0.169774,1.4,sinusoidal,4111,passkey_exact
20,0.366778,1.443078,0.7,0.833333,0.795807,0.795807,0.204193,0.871413,0.171447,1.4,sinusoidal,4111,multi_needle
20,0.349578,1.418469,0.85,0.925,0.802616,0.802616,0.197384,0.878668,0.134095,1.15,sinusoidal,4111,aggregation
20,0.605257,1.831722,0.65,0.816667,0.691707,0.691707,0.308293,0.806254,0.200295,1.4,sinusoidal,4127,passkey_exact
20,0.328869,1.389397,0.75,0.858333,0.806397,0.806397,0.193603,0.860317,0.110424,1.35,sinusoidal,4127,multi_needle
20,0.344772,1.411668,0.8,0.9,0.79799,0.79799,0.20201,0.867169,0.077236,1.2,sinusoidal,4127,aggregation
20,0.727283,2.06945,0.65,0.816667,0.689216,0.689216,0.310784,0.840187,0.190187,1.4,sinusoidal,4133,passkey_exact
20,0.411996,1.509828,0.75,0.858333,0.784474,0.784474,0.215526,0.885222,0.135228,1.35,sinusoidal,4133,multi_needle
20,0.400773,1.492978,0.8,0.9,0.800789,0.800789,0.199211,0.896642,0.124962,1.2,sinusoidal,4133,aggregation
20,0.714621,2.043412,0.65,0.816667,0.688111,0.688111,0.311889,0.83589,0.18897,1.4,sinusoidal,4139,passkey_exact
20,0.394718,1.483966,0.75,0.858333,0.788605,0.788605,0.211395,0.880524,0.130532,1.35,sinusoidal,4139,multi_needle
20,0.390564,1.477814,0.85,0.925,0.801127,0.801127,0.198873,0.892491,0.102155,1.15,sinusoidal,4139,aggregation
20,0.06003,1.061868,1.0,1.0,0.950021,0.950021,0.049979,0.950021,0.049979,1.0,phasewrap_distance_adapter,4103,passkey_exact
20,0.128319,1.136916,0.9,0.95,0.915032,0.915032,0.084968,0.94617,0.084907,1.1,phasewrap_distance_adapter,4103,multi_needle
