noise_model_id,provider,source_lane_id,circuit_template,phasewrap_mean_absolute_score_error,best_positional_comparator_mean_absolute_score_error,no_position_control_mean_absolute_score_error,phasewrap_beats_positional_comparators,phasewrap_beats_all_families_including_control
ry_offset_0p02rad,amazon_braket,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,0.00246461922,0.002924270349,0.01,True,True
ry_offset_0p02rad,ibm_runtime,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,0.003951497483,0.004567580445,0.010009765625,True,True
ry_offset_0p02rad,ibm_runtime,ibm_cx_seed577_rows16_shots4096,two_ry_cx_parity_z_readout_v1,0.003690266604,0.004156839845,0.010009765625,True,True
ry_offset_0p02rad,ibm_runtime,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,0.003951497483,0.004567580445,0.010009765625,True,True
ry_offset_0p02rad,ibm_runtime,ibm_product_seed577_rows16_shots4096,two_ry_product_state_z_readout_v1,0.003690266604,0.004156839845,0.010009765625,True,True
ry_overrotation_2pct,amazon_braket,braket_cx_seed2718_rows8_shots1000,two_ry_cx_parity_z_readout_v1,0.00515211922,0.004861770349,0.016,False,False
ry_overrotation_2pct,amazon_braket,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,0.00515211922,0.004861770349,0.016,False,False
ry_overrotation_2pct,ibm_runtime,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,0.006789632249,0.006635146363,0.015625,False,False
ry_overrotation_2pct,ibm_runtime,ibm_cx_seed577_rows16_shots4096,two_ry_cx_parity_z_readout_v1,0.006314778322,0.006666910645,0.015625,True,True
ry_overrotation_2pct,ibm_runtime,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,0.006789632249,0.006635146363,0.015625,False,False
ry_overrotation_2pct,ibm_runtime,ibm_product_seed577_rows16_shots4096,two_ry_product_state_z_readout_v1,0.006314778322,0.006666910645,0.015625,True,True
ry_underrotation_2pct,amazon_braket,braket_cx_seed2718_rows8_shots1000,two_ry_cx_parity_z_readout_v1,0.00534788078,0.004950729651,0.016,False,False
ry_underrotation_2pct,amazon_braket,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,0.00534788078,0.004950729651,0.016,False,False
ry_underrotation_2pct,ibm_runtime,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,0.007080607009,0.006624741332,0.015625,False,False
ry_underrotation_2pct,ibm_runtime,ibm_cx_seed577_rows16_shots4096,two_ry_cx_parity_z_readout_v1,0.006533122068,0.006821858886,0.015625,True,True
ry_underrotation_2pct,ibm_runtime,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,0.007080607009,0.006624741332,0.015625,False,False
ry_underrotation_2pct,ibm_runtime,ibm_product_seed577_rows16_shots4096,two_ry_product_state_z_readout_v1,0.006533122068,0.006821858886,0.015625,True,True
