method,run_count,row_count,feature_dim,hidden_dim,value_embed_dim,parameter_count,attention_scope,loss_mean,loss_ci_low,loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,mean_target_value_probability_mean,mean_target_value_probability_ci_low,mean_target_value_probability_ci_high,target_value_probability_mae_mean,target_value_probability_mae_ci_low,target_value_probability_mae_ci_high,mean_top1_confidence_mean,mean_top1_confidence_ci_low,mean_top1_confidence_ci_high,expected_calibration_error_mean,expected_calibration_error_ci_low,expected_calibration_error_ci_high,mean_first_relevant_value_rank_mean,mean_first_relevant_value_rank_ci_low,mean_first_relevant_value_rank_ci_high
no_position,5,120,14,16,48,25186,full_prefix_sequence_tokens,1.714557,1.656156,1.7552,0.518334,0.491667,0.556667,0.66784,0.653277,0.694051,0.229781,0.216907,0.241816,0.770219,0.75754,0.782351,0.217899,0.206325,0.227433,0.30272,0.27234,0.338107,2.596667,2.466667,2.716666
alibi,5,120,14,16,48,25186,full_prefix_sequence_tokens,1.632972,1.486525,1.777127,0.53,0.483334,0.571667,0.678053,0.648705,0.708543,0.263773,0.223796,0.312036,0.736227,0.695208,0.776204,0.248772,0.2153,0.285307,0.281227,0.263111,0.304198,2.575,2.336666,2.838333
rope_relative,5,120,14,16,48,25186,full_prefix_sequence_tokens,0.371597,0.165988,0.567011,0.935,0.915,0.955,0.963833,0.950722,0.977778,0.743163,0.61345,0.872877,0.256837,0.134547,0.38655,0.641961,0.5381,0.745762,0.293969,0.211038,0.370142,1.1,1.048333,1.161667
sinusoidal,5,120,14,16,48,25186,full_prefix_sequence_tokens,0.105933,0.089324,0.118731,0.935,0.925,0.95,0.967222,0.961944,0.975,0.921679,0.912537,0.93413,0.078321,0.069246,0.087414,0.786339,0.779876,0.792583,0.149927,0.137698,0.164302,1.066667,1.05,1.078333
phasewrap_distance_adapter,5,120,14,16,48,25186,full_prefix_sequence_tokens,0.155082,0.098072,0.225092,0.951667,0.908333,0.986667,0.975278,0.952222,0.993333,0.878743,0.829155,0.91766,0.121257,0.08234,0.170715,0.745258,0.710128,0.772171,0.206409,0.194526,0.218292,1.051667,1.011667,1.1
phasewrap_multiscale_adapter,5,120,14,16,48,25186,full_prefix_sequence_tokens,0.057741,0.037531,0.08442,0.973334,0.966667,0.981667,0.986666,0.983333,0.991666,0.954995,0.932481,0.97081,0.045005,0.025484,0.066035,0.80885,0.794135,0.821536,0.164483,0.152994,0.176667,1.026666,1.016666,1.033333
