row_count,loss,perplexity,top1_accuracy,mrr,mean_target_probability,target_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_rank,method,model_seed,task
20,0.834899,2.304581,0.45,0.716667,0.446558,0.553442,0.446558,0.394469,1.6,sinusoidal,2801,multi_needle
20,0.823259,2.277912,0.8,0.9,0.460412,0.539588,0.4519,0.3481,1.2,sinusoidal,2801,aggregation
20,0.747139,2.110952,0.75,0.858333,0.492618,0.507382,0.492618,0.305517,1.35,sinusoidal,2819,passkey_exact
20,0.846252,2.330895,0.45,0.716667,0.441269,0.558731,0.441269,0.396904,1.6,sinusoidal,2819,multi_needle
20,0.832094,2.298126,0.8,0.9,0.456272,0.543728,0.447764,0.352236,1.2,sinusoidal,2819,aggregation
20,0.744617,2.105635,0.75,0.858333,0.493932,0.506068,0.493932,0.304252,1.35,sinusoidal,2833,passkey_exact
20,0.84284,2.322956,0.45,0.716667,0.44296,0.55704,0.44296,0.395629,1.6,sinusoidal,2833,multi_needle
20,0.8301,2.293549,0.8,0.9,0.457184,0.542816,0.448687,0.351313,1.2,sinusoidal,2833,aggregation
20,0.733037,2.081393,0.75,0.858333,0.500033,0.499967,0.500033,0.298452,1.35,sinusoidal,2837,passkey_exact
20,0.828642,2.290206,0.45,0.716667,0.449621,0.550379,0.449621,0.392475,1.6,sinusoidal,2837,multi_needle
20,0.818382,2.26683,0.8,0.9,0.462764,0.537236,0.454074,0.345926,1.2,sinusoidal,2837,aggregation
20,0.732004,2.079243,0.75,0.858333,0.500612,0.499388,0.500612,0.297873,1.35,sinusoidal,2843,passkey_exact
20,0.829018,2.291067,0.45,0.716667,0.449389,0.550611,0.449389,0.392908,1.6,sinusoidal,2843,multi_needle
20,0.818014,2.265996,0.8,0.9,0.462969,0.537031,0.454372,0.345628,1.2,sinusoidal,2843,aggregation
20,3.204653,24.646953,0.0,0.062774,0.040772,0.959228,0.05437,0.05437,16.55,phasewrap_score,2801,passkey_exact
20,3.271071,26.339543,0.0,0.056055,0.038132,0.961868,0.051797,0.051797,18.25,phasewrap_score,2801,multi_needle
20,2.882215,17.853776,0.05,0.123753,0.059138,0.940862,0.050044,4.4e-05,15.5,phasewrap_score,2801,aggregation
20,3.208698,24.746834,0.0,0.062774,0.040609,0.959391,0.054923,0.054923,16.55,phasewrap_score,2819,passkey_exact
20,3.27499,26.442955,0.0,0.056055,0.037983,0.962017,0.052378,0.052378,18.25,phasewrap_score,2819,multi_needle
20,2.885428,17.911229,0.05,0.123753,0.058962,0.941038,0.050551,0.000551,15.5,phasewrap_score,2819,aggregation
20,3.227137,25.207397,0.0,0.062774,0.039863,0.960137,0.05701,0.05701,16.55,phasewrap_score,2833,passkey_exact
20,3.293571,26.938896,0.0,0.056055,0.037277,0.962723,0.054564,0.054564,18.25,phasewrap_score,2833,multi_needle
20,2.894121,18.067611,0.05,0.123753,0.058403,0.941597,0.052492,0.002492,15.5,phasewrap_score,2833,aggregation
20,3.213398,24.863421,0.0,0.062774,0.040416,0.959584,0.05536,0.05536,16.55,phasewrap_score,2837,passkey_exact
20,3.279813,26.5708,0.0,0.056055,0.037798,0.962202,0.052836,0.052836,18.25,phasewrap_score,2837,multi_needle
20,2.88686,17.936893,0.05,0.123753,0.058847,0.941153,0.050962,0.000962,15.5,phasewrap_score,2837,aggregation
20,3.219011,25.003374,0.0,0.062774,0.04019,0.95981,0.056125,0.056125,16.55,phasewrap_score,2843,passkey_exact
20,3.285359,26.718566,0.0,0.056055,0.037588,0.962412,0.053636,0.053636,18.25,phasewrap_score,2843,multi_needle
20,2.890536,18.002957,0.05,0.123753,0.058638,0.941362,0.051668,0.001668,15.5,phasewrap_score,2843,aggregation
20,1.168729,3.2179,0.55,0.733333,0.335726,0.664274,0.335726,0.310545,1.75,phasewrap_residual_adapter,2801,passkey_exact
20,1.257875,3.517938,0.2,0.516667,0.297512,0.702488,0.297512,0.317613,2.35,phasewrap_residual_adapter,2801,multi_needle
20,1.169294,3.219717,0.6,0.770833,0.319189,0.680811,0.304181,0.295819,1.6,phasewrap_residual_adapter,2801,aggregation
20,1.163199,3.200153,0.55,0.733333,0.337698,0.662302,0.337698,0.309294,1.75,phasewrap_residual_adapter,2819,passkey_exact
20,1.253838,3.503763,0.2,0.516667,0.298651,0.701349,0.298651,0.317841,2.35,phasewrap_residual_adapter,2819,multi_needle
20,1.16574,3.208298,0.6,0.770833,0.320308,0.679692,0.305601,0.294399,1.6,phasewrap_residual_adapter,2819,aggregation
20,1.14468,3.141437,0.55,0.733333,0.344273,0.655727,0.344273,0.275215,1.75,phasewrap_residual_adapter,2833,passkey_exact
20,1.235839,3.441265,0.2,0.516667,0.304351,0.695649,0.304351,0.318208,2.35,phasewrap_residual_adapter,2833,multi_needle
20,1.147779,3.151188,0.6,0.770833,0.326341,0.673659,0.311706,0.288294,1.6,phasewrap_residual_adapter,2833,aggregation
20,1.130691,3.097795,0.55,0.733333,0.349419,0.650581,0.349419,0.271565,1.75,phasewrap_residual_adapter,2837,passkey_exact
20,1.221746,3.393107,0.2,0.516667,0.308992,0.691008,0.308992,0.318386,2.35,phasewrap_residual_adapter,2837,multi_needle
20,1.133592,3.106796,0.6,0.770833,0.33125,0.66875,0.316571,0.328074,1.6,phasewrap_residual_adapter,2837,aggregation
20,1.163141,3.199967,0.55,0.733333,0.337518,0.662482,0.337518,0.3097,1.75,phasewrap_residual_adapter,2843,passkey_exact
20,1.25342,3.502301,0.2,0.516667,0.298724,0.701276,0.298724,0.317776,2.35,phasewrap_residual_adapter,2843,multi_needle
20,1.16514,3.206373,0.6,0.770833,0.320469,0.679531,0.305714,0.294286,1.6,phasewrap_residual_adapter,2843,aggregation
20,0.704335,2.022501,1.0,1.0,0.503368,0.496632,0.503368,0.496632,1.0,phasewrap_distance_adapter,2801,passkey_exact
20,0.617121,1.853583,1.0,1.0,0.55014,0.44986,0.55014,0.44986,1.0,phasewrap_distance_adapter,2801,multi_needle
20,0.702669,2.019134,1.0,1.0,0.505145,0.494855,0.474634,0.525366,1.0,phasewrap_distance_adapter,2801,aggregation
20,0.703468,2.020748,1.0,1.0,0.503701,0.496299,0.503701,0.496299,1.0,phasewrap_distance_adapter,2819,passkey_exact
20,0.616488,1.852411,1.0,1.0,0.550359,0.449641,0.550359,0.449641,1.0,phasewrap_distance_adapter,2819,multi_needle
20,0.702138,2.018063,1.0,1.0,0.505396,0.494604,0.475177,0.524823,1.0,phasewrap_distance_adapter,2819,aggregation
20,0.737588,2.090886,1.0,1.0,0.488289,0.511711,0.488289,0.511711,1.0,phasewrap_distance_adapter,2833,passkey_exact
20,0.644918,1.905831,1.0,1.0,0.536685,0.463315,0.536685,0.463315,1.0,phasewrap_distance_adapter,2833,multi_needle
20,0.729055,2.073121,1.0,1.0,0.493087,0.506913,0.460016,0.539984,1.0,phasewrap_distance_adapter,2833,aggregation
20,0.714839,2.043858,1.0,1.0,0.498677,0.501323,0.498677,0.501323,1.0,phasewrap_distance_adapter,2837,passkey_exact
20,0.629652,1.876958,1.0,1.0,0.543857,0.456143,0.543857,0.456143,1.0,phasewrap_distance_adapter,2837,multi_needle
20,0.710806,2.035631,1.0,1.0,0.501549,0.498451,0.469454,0.530546,1.0,phasewrap_distance_adapter,2837,aggregation
20,0.673619,1.961323,1.0,1.0,0.517891,0.482109,0.517891,0.482109,1.0,phasewrap_distance_adapter,2843,passkey_exact
20,0.594551,1.812217,1.0,1.0,0.561409,0.438591,0.561409,0.438591,1.0,phasewrap_distance_adapter,2843,multi_needle
20,0.677864,1.969666,1.0,1.0,0.517063,0.482937,0.487954,0.512046,1.0,phasewrap_distance_adapter,2843,aggregation
