method,run_count,row_count,loss_mean,loss_ci_low,loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,mean_target_probability_mean,mean_target_probability_ci_low,mean_target_probability_ci_high,target_probability_mae_mean,target_probability_mae_ci_low,target_probability_mae_ci_high,mean_top1_confidence_mean,mean_top1_confidence_ci_low,mean_top1_confidence_ci_high,expected_calibration_error_mean,expected_calibration_error_ci_low,expected_calibration_error_ci_high,mean_first_relevant_rank_mean,mean_first_relevant_rank_ci_low,mean_first_relevant_rank_ci_high
no_position,5,60,3.323466,3.323466,3.323466,0.05,0.05,0.05,0.118035,0.118035,0.118035,0.037879,0.037879,0.037879,0.962121,0.962121,0.962121,0.02862,0.02862,0.02862,0.02138,0.02138,0.02138,21.016667,21.016667,21.016667
alibi,5,60,3.319255,3.317773,3.320566,0.0,0.0,0.0,0.153196,0.153196,0.153196,0.037945,0.037924,0.037971,0.962055,0.962029,0.962077,0.029264,0.029042,0.029498,0.029264,0.029077,0.029515,13.9,13.9,13.9
rope_relative,5,60,0.364667,0.359992,0.368427,1.0,1.0,1.0,1.0,1.0,1.0,0.704867,0.702404,0.70766,0.295133,0.292361,0.297575,0.702546,0.70013,0.705261,0.297454,0.295018,0.299816,1.0,1.0,1.0
sinusoidal,5,60,0.799825,0.794229,0.804938,0.666667,0.666667,0.666667,0.825,0.825,0.825,0.467632,0.464628,0.470339,0.532368,0.529698,0.535111,0.464779,0.462284,0.467417,0.254037,0.252418,0.255656,1.383333,1.383333,1.383333
phasewrap_score,5,60,3.127791,3.122278,3.133642,0.016667,0.016667,0.016667,0.08086,0.08086,0.08086,0.045641,0.045399,0.045916,0.954359,0.954117,0.954627,0.053248,0.052485,0.054161,0.036581,0.035732,0.037343,16.766667,16.766667,16.766667
phasewrap_residual_adapter,5,60,1.18498,1.171206,1.195936,0.45,0.45,0.45,0.673611,0.673611,0.673611,0.322028,0.318329,0.326425,0.677972,0.673575,0.681671,0.317109,0.313379,0.321087,0.190309,0.175686,0.20511,1.9,1.9,1.9
phasewrap_distance_adapter,5,60,0.677274,0.661033,0.692196,1.0,1.0,1.0,1.0,1.0,1.0,0.518441,0.510515,0.526175,0.481559,0.475314,0.488568,0.508107,0.50075,0.516934,0.491893,0.483874,0.499604,1.0,1.0,1.0
