provider,window_id,job_count,command_authorized,live_submit_command_available,live_submit_command_present,collector_ready,collector_missing_job_count,stage115_handoff_ready,stage113_ready_after_collection,blockers
amazon_braket,amazon_braket__independent_window_00,84,False,False,False,False,84,False,False,stage115:job_results_missing; stage115:provider_result_file_missing; stage115_did_not_write_stage113_input; stage115_not_collected_for_stage113; stage115_stage152_authorized_runner_count_incomplete; stage115_stage152_commands_not_all_authorized; stage115_stage152_commands_not_all_live_submit_ready; stage115_stage152_live_submit_ready_count_incomplete; stage115_stage152_write_blockers_present; stage115_stage152_write_not_ready; stage133_command_not_authorized
amazon_braket,amazon_braket__independent_window_01,84,False,False,False,False,84,False,False,stage115:job_results_missing; stage115:provider_result_file_missing; stage115_did_not_write_stage113_input; stage115_not_collected_for_stage113; stage115_stage152_authorized_runner_count_incomplete; stage115_stage152_commands_not_all_authorized; stage115_stage152_commands_not_all_live_submit_ready; stage115_stage152_live_submit_ready_count_incomplete; stage115_stage152_write_blockers_present; stage115_stage152_write_not_ready; stage133_command_not_authorized
ibm_runtime,ibm_runtime__independent_window_00,164,False,False,False,False,164,False,False,stage115:job_results_missing; stage115:provider_result_file_missing; stage115_did_not_write_stage113_input; stage115_not_collected_for_stage113; stage115_stage152_authorized_runner_count_incomplete; stage115_stage152_commands_not_all_authorized; stage115_stage152_commands_not_all_live_submit_ready; stage115_stage152_live_submit_ready_count_incomplete; stage115_stage152_write_blockers_present; stage115_stage152_write_not_ready; stage133_command_not_authorized
ibm_runtime,ibm_runtime__independent_window_01,164,False,False,False,False,164,False,False,stage115:job_results_missing; stage115:provider_result_file_missing; stage115_did_not_write_stage113_input; stage115_not_collected_for_stage113; stage115_stage152_authorized_runner_count_incomplete; stage115_stage152_commands_not_all_authorized; stage115_stage152_commands_not_all_live_submit_ready; stage115_stage152_live_submit_ready_count_incomplete; stage115_stage152_write_blockers_present; stage115_stage152_write_not_ready; stage133_command_not_authorized
